Cod	Link	Chao1	Shannon	Observed	Simpson	Jost	Berger-Parker	ACE	Reyni	Faith	fisher	Gini	Pielou	Magalef
1	Gut Microbiota and Dietary Intake of Normal-Weight and Overweight Filipino Children	1	1											
2	Response of the Human Milk Microbiota to a Maternal Prebiotic Intervention Is Individual and Influenced by Maternal Age	2	2	2										
3	Using compositional principal component analysis to describe children's gut microbiota in relation to diet and body composition		3											
4	Structured exercise alters the gut microbiota in humans with overweight and obesity—A randomized controlled trial		4	4										
5	Longitudinal gut microbiome changes in alcohol use disorder are influenced by abstinence and drinking quantity		5											
6	Impact of Individual Traits, Saturated Fat, and Protein Source on the Gut Microbiome		6											
7	Randomized controlled trial on the impact of early-life intervention with bifidobacteria on the healthy infant fecal microbiota and metabolome			7		7								
8	Multidomain analyses of a longitudinal human microbiome intestinal cleanout perturbation experiment		8											
9	Impact of Dietary Resistant Starch on the Human Gut Microbiome, Metaproteome, and Metabolome		9											
10	Exercise and associated dietary extremes impact on gut microbial diversity		10		10									
11	Short-Term Effect of Antibiotics on Human Gut Microbiota	11		11										
12	Diet rapidly and reproducibly alters the human gut microbiome		12											
13	Alterations in intestinal microbiota of elderly Irish subjects post-antibiotic therapy	13	13	13	13					13				
14	Differential Responses to Dietary Protein and Carbohydrate Ratio on Gut Microbiome in Obese vs. Lean Cats		14	14						14				
15	Diabetic cats have decreased gut microbial diversity and a lack of butyrate producing bacteria	15	15	15	15									
16	Diabetic cats have decreased gut microbial diversity and a lack of butyrate producing bacteria	16	16	16	16									
17	Synbiotic-driven improvement of metabolic disturbances is associated with changes in the gut microbiome in diet-induced obese mice		17	17										
18	Diet-Microbiome Interactions in Health Are Controlled by Intestinal Nitrogen Source Constraints				18				18					
19	Prolonged transfer of feces from the lean mice modulates gut microbiota in obese mice	19			19									
20	Diet-induced extinctions in the gut microbiota compound over generations		20											
21	Unusual sub-genus associations of faecal Prevotella and Bacteroides with specific dietary patterns			21										
22	Ethnic diversity in infant gut microbiota is apparent before the introduction of complementary diets		22											
23	Persistent gut microbiota immaturity in malnourished Bangladeshi children		23											
24	The effect of legume supplementation on the gut microbiota in rural Malawian infants aged 6 to 12 months									24				
25	The Pervasive Effects of an Antibiotic on the Human Gut Microbiota, as Revealed by Deep 16S rRNA Sequencing					25								
26	Impact of diet in shaping gut microbiota revealed by a comparative study in children from Europe and rural Africa	26	26											
27	Impact of Westernized Diet on Gut Microbiota in Children on Leyte Island	27		27										
28	Gut Microbiota and Dietary Intake of Normal-Weight and Overweight Filipino Children	28	28											
29	Diversity in gut bacterial community of school-age children in Asia		29	29										
30	Environmental exposures and child and maternal gut microbiota in rural Malawi		30											
31	Population structure of human gut bacteria in a diverse cohort from rural Tanzania and Botswana		31											
32	Response of the human gut and saliva microbiome to urbanization in Cameroon			32	32	32	32			32				
33	Response of the human gut and saliva microbiome to urbanization in Cameroon		33											
34	Seasonal cycling in the gut microbiome of the Hadza hunter-gatherers of Tanzania	34	34	34										
35	Age-related changes in gut microbiota composition from newborn to centenarian: a cross-sectional study	35	35	35										
36	Diet Quality, Food Groups and Nutrients Associated with the Gut Microbiota in a Nonwestern Population		36	36										
37	Gut Microbiota Bacterial Species Associated with Mediterranean Diet-Related Food Groups in a Northern Spanish Population		37											
38	Influence of habitual dietary fibre intake on the responsiveness of the gut microbiota to a prebiotic: protocol for a randomised, double-blind, placebo-controlled, cross-over, single-centre study	38	38	38	38		38			38				
39	Diversity in gut bacterial community of school-age children in Asia		39	39						39				
40	Taxonomic Composition and Diversity of the Gut Microbiota in Relation to Habitual Dietary Intake in Korean Adults		40	40						40				
41	Developmental trajectory of the healthy human gut microbiota during the first 5 years of life		41	41						41				
42	Effects of dietary fat on gut microbiota and faecal metabolites, and their relationship with cardiometabolic risk factors: a 6-month randomised controlled-feeding trial	42	42					42						
43	Ethnic diversity in infant gut microbiota is apparent before the introduction of complementary diets		43											
44	US Immigration Westernizes the Human Gut Microbiome		44							44				
45	Evolution of gut microbiota composition from birth to 24 weeks in the INFANTMET Cohort		45											
46	Impact of a Moderately Hypocaloric Mediterranean Diet on the Gut Microbiota Composition of Italian Obese Patients		46											
47	Microbiome Responses to an Uncontrolled Short-Term Diet Intervention in the Frame of the Citizen Science Project	47	47											
48	Dynamics of Human Gut Microbiota and Short-Chain Fatty Acids in Response to Dietary Interventions with Three Fermentable Fibers				48									
49	Gut microbiota plasticity is correlated with sustained weight loss on a low-carb or low-fat dietary intervention									49				
50	American Gut: an Open Platform for Citizen Science Microbiome Research									50				
51	Gut-microbiota-targeted diets modulate human immune status		51	51						51				
52	Differential Analysis of Hypertension-Associated Intestinal Microbiota	52	52		52			52						
53	Gut Microbiota and Fecal Levels of Short-Chain Fatty Acids Differ Upon 24-Hour Blood Pressure Levels in Men	53			53									
54	Gut microbiota associations with common diseases and prescription medications in a population-based cohort		56	56						56				
55	Gut microbiota diversity after autologous fecal microbiota transfer in acute myeloid leukemia patients		55		55									
56	Altered fecal microbiota composition in patients with major depressive disorder	56	56		56			56						
57	Possible association of Firmicutes in the gut microbiota of patients with major depressive disorder	57	57					57		57				
58	Shotgun metagenomics reveals both taxonomic and tryptophan pathway differences of gut microbiota in major depressive disorder patients		58								58			
59	Similarly in depression, nuances of gut microbiota: Evidences from a shotgun metagenomics sequencing study on major depressive disorder versus bipolar disorder with current major depressive episode patients	59	59		59							59		
60	Age-specific differential changes on gut microbiota composition in patients with major depressive disorder 	60						60						
61	Shotgun metagenomics reveals both taxonomic and tryptophan pathway differences of gut microbiota in bipolar disorder with current major depressive episode patients 		61		61						61			
62	Functional microbiome deficits associated with ageing: Chronological age threshold		62										62	62
63	Associations of physical activity with gut microbiota in pre-adolescent children			63						63			63	
64	Comparative Studies of the Gut Microbiota in the Offspring of Mothers With and Without Gestational Diabetes		64	64									64	
65	Characteristics and Mediating Effect of Gut Microbiota With Experience of Childhood Maltreatment in Major Depressive Disorder 	65	65	65	65					65			65	
66	The Gut Microbiota Profile According to Glycemic Control in Type 1 Diabetes Patients Treated with Personal Insulin Pumps	66	66	66	66								66	
67	Alterations of gut microbiome in patients with type 2 diabetes mellitus who had undergone cholecystectomy	67	67		67								67	
68	Effects of HIV, antiretroviral therapy and prebiotics on the active fraction of the gut microbiota		68										68	68
