	berger_parker_d	berger_parker_d	berger_parker_d	berger_parker_d	berger_parker_d	berger_parker_d	berger_parker_d	berger_parker_d	observed_features	observed_features	observed_features	observed_features	observed_features	observed_features	observed_features	observed_features	robbins	robbins	robbins	robbins	robbins	robbins	robbins	robbins	shannon_entropy	shannon_entropy	shannon_entropy	shannon_entropy	shannon_entropy	shannon_entropy	shannon_entropy	shannon_entropy	faith_pd	faith_pd	faith_pd	faith_pd	faith_pd	faith_pd	faith_pd	faith_pd
	count	mean	std	min	25%	50%	75%	max	count	mean	std	min	25%	50%	75%	max	count	mean	std	min	25%	50%	75%	max	count	mean	std	min	25%	50%	75%	max	count	mean	std	min	25%	50%	75%	max
folder																																								
147_volunteers	246.0	0.23429622826143082	0.16675414902525137	0.045518801243992	0.11988168413783852	0.178988222132743	0.3095291399572997	0.8361042828571177	246.0	271.109756097561	110.71257208969439	26.0	192.25	261.0	340.25	615.0	246.0	0.0004136267854789513	0.00048355151159290983	0.0	0.0001330811107292	0.00028271351747505	0.00048332625520635	0.0039318479685452	246.0	5.044407620593137	1.1836452362660412	1.7026620016046972	4.313869568453186	5.093365418506055	6.020811477144335	7.248088806460171	246.0	26.277296905473108	7.159432645931065	6.858575208453702	21.413606394988445	25.753043552087398	30.842958871340755	45.10742959532285
153_italian	150.0	0.17845307574648223	0.10422976225485611	0.0596311886149528	0.10471137102391452	0.14893871121181274	0.23244607934310138	0.5870546914199699	150.0	199.75333333333333	53.994523295064816	95.0	165.0	189.5	230.0	375.0	150.0	0.003491692321998408	0.0015625186187183658	0.0004066142586066	0.0023977221639442	0.00335527170383195	0.004448622433971425	0.0093390804597701	150.0	5.550290753109053	0.8262776905172018	2.7039120156164174	5.057956580905611	5.668212986403341	6.186589269339148	6.912758457821584	150.0	18.565284213138533	4.0904507149208005	10.26868364720665	15.377892925226947	17.819551010563448	21.36412827015303	28.112517679388816
161_LCarb_and_LFat	115.0	0.2070160244225629	0.10542536383116928	0.0656174256920525	0.12460321562345505	0.1890281887556455	0.2707591963240825	0.6813643713266432	115.0	155.35652173913044	91.83816728491328	5.0	66.5	153.0	228.0	393.0	115.0	9.425444538852356e-05	0.00022015136528465685	0.0	2.7267430979567577e-05	5.627462014631401e-05	9.200034951818504e-05	0.0021929824561403	115.0	4.490638751240154	0.8838300004601323	2.129181998864994	3.8353794729962694	4.591462466532655	5.132166647036397	6.136319176424017	115.0	16.102648677751734	8.140331674660114	3.35466953389651	7.355298689772901	17.716853325792915	23.114866032238297	32.262376847305774
18_mixed	308.0	0.12188932065514639	0.05203187145131212	0.053279853456716	0.08696272658219578	0.11033081384144411	0.1365280904581107	0.3330699952599146	308.0	175.75974025974025	57.8990534760082	66.0	131.75	166.0	211.0	361.0	308.0	0.0008423779316036793	0.0006670209868452561	0.0	0.00039101687186495	0.00067457630679055	0.00111278002887615	0.0054446460980036	308.0	5.533128741444481	0.47670903155752925	4.067056599954313	5.2224360788747	5.555127686237567	5.858496957227175	6.519097274247737	308.0	16.97943596013108	4.576240687162638	7.841477538622222	13.465763408283543	16.595675729726402	19.769554889615264	30.31063142812581
23_obese	46.0	0.21786062100534387	0.15972709993374803	0.0727143067919146	0.14141569377330968	0.19023360222270508	0.23376280543010813	0.9220406635898716	46.0	283.1304347826087	68.72056418590424	145.0	234.5	285.0	337.5	404.0	46.0	0.0003115387003411079	0.00022204544953248698	6.665155897996454e-05	0.000216200131844625	0.000266947316183	0.000351680034515275	0.0014879107253564	46.0	4.737312743049596	0.979458194931579	0.8119543747411676	4.411648462374784	4.88940074668146	5.228495797346171	6.010784904653298	0.0							
248_citizen	413.0	0.21499619418110022	0.10978046722871723	0.0590527577937649	0.1424850786760716	0.192280665226557	0.2610766629086809	0.9060150375939848	413.0	123.0314769975787	57.608500223976506	38.0	83.0	107.0	148.0	349.0	413.0	0.0006175358208644668	0.0008712058666873591	0.0	7.627474161931276e-05	0.0002445585717779	0.0009277011565341	0.0086923658352229	413.0	4.567275775566423	0.7338505222246746	0.8971656454350173	4.147151644968786	4.598717259353232	5.06804547623967	6.321147897096977	413.0	6.371439809105181	1.2478096879667244	3.479034044556097	5.448997512392859	6.415130988642911	7.180184768211639	10.241598442406046
29_children_EU_Africa	29.0	0.33908055632538453	0.14815584503624135	0.141832729468599	0.2196142649199417	0.3127474267616785	0.4161508989095196	0.6223771444193835	29.0	129.17241379310346	46.44356711223175	58.0	82.0	136.0	168.0	212.0	29.0	0.0011150631154716205	0.0007328266939708188	0.0001492091912861	0.0005749486652977	0.0008841732979664	0.0014297969688304	0.0033644859813084	29.0	4.023081305232181	1.0180509792558605	2.265169358144324	2.961928139169217	4.3390922701132295	4.79546491591326	5.666641368697053	0.0							
29_children_EU_Africa_dada	29.0	0.3299236396478911	0.1520588969986715	0.1349410797478761	0.202131053403943	0.2818413300713965	0.3993708278984117	0.6048881715471525	29.0	83.62068965517241	32.961464289057574	36.0	57.0	80.0	104.0	154.0	29.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	29.0	4.003057203808475	1.0798808563799696	2.1675488561709364	2.912766231389468	4.211179337484102	4.860619850658019	5.808856155132546	29.0	7.423820170821305	3.607185446180115	3.2762355176198663	5.262660617231727	6.616523739901281	8.0797835865347	20.1610331472792
