	berger_parker_d	berger_parker_d	berger_parker_d	berger_parker_d	berger_parker_d	berger_parker_d	berger_parker_d	berger_parker_d	observed_features	observed_features	observed_features	observed_features	observed_features	observed_features	observed_features	observed_features	robbins	robbins	robbins	robbins	robbins	robbins	robbins	robbins	shannon_entropy	shannon_entropy	shannon_entropy	shannon_entropy	shannon_entropy	shannon_entropy	shannon_entropy	shannon_entropy	faith_pd	faith_pd	faith_pd	faith_pd	faith_pd	faith_pd	faith_pd	faith_pd
	count	mean	std	min	25%	50%	75%	max	count	mean	std	min	25%	50%	75%	max	count	mean	std	min	25%	50%	75%	max	count	mean	std	min	25%	50%	75%	max	count	mean	std	min	25%	50%	75%	max
dataset																																								
147_volunteers_not_rural	63.0	0.19883913417593388	0.13847470582557805	0.0461999369284137	0.10487155243698329	0.1857785915922789	0.23045795555308757	0.7671757006209096	63.0	242.93650793650792	85.92698945407703	82.0	173.5	231.0	303.0	434.0	63.0	0.00046941910190973786	0.0004901159698559786	5.258065873049258e-05	0.0001390979544349	0.0003363605785401	0.0005549957728047999	0.0030917635419243	63.0	5.146266936650014	1.12527899115646	1.801933250174004	4.493534876275971	5.001184821963587	6.123831772278145	7.191697641672039	63.0	24.60258097333669	5.619572946993644	13.698189709656582	20.22797248707449	24.46748980584864	28.19150715553255	35.55315355949466
147_volunteers_rural	183.0	0.24650276884824118	0.17411259785204508	0.045518801243992	0.12492455834076516	0.1769381623967287	0.3280654901889642	0.8361042828571177	183.0	280.8087431693989	116.68588212792555	26.0	204.0	269.0	343.0	615.0	183.0	0.0003944195945765493	0.0004811247219179135	0.0	0.0001333790869593	0.0002586377398104	0.00044076657743165	0.0039318479685452	183.0	5.009341298671917	1.2040740969892638	1.7026620016046972	4.24557651856972	5.134520495074274	6.007958927059095	7.248088806460171	183.0	26.853838455880727	7.545693302833676	6.858575208453702	21.81135084124701	26.20990520723579	32.115147005540635	45.10742959532285
153_italian_O	47.0	0.18737988312923412	0.1035787507276181	0.0611771527979124	0.1071983451395916	0.1490566037735849	0.2605051651298804	0.4581257413997627	47.0	194.17021276595744	50.624499632067725	105.0	160.0	189.0	238.0	284.0	47.0	0.0032927808897967635	0.001481612086769694	0.0004066142586066	0.00216926926801575	0.0031725888324873	0.004279344884478	0.0067052727826882	47.0	5.463779428085397	0.8382355566703986	3.375429300036993	4.949282517313094	5.617448166440913	6.245133900232595	6.694507140750654	47.0	18.073145964127075	3.8149614086366017	11.47325736910638	15.09010553609362	17.66542139123187	21.246643003657894	26.13788084315368
153_italian_V	50.0	0.18292968454413575	0.12087504028151212	0.0596311886149528	0.08885596970007215	0.1547768591939695	0.23244607934310138	0.5870546914199699	50.0	195.4	57.39622401005353	107.0	163.25	182.0	223.75	375.0	50.0	0.00353445165909731	0.0016183429945527737	0.0009041591320072	0.002146335656631675	0.0033431062057107	0.00465286886624285	0.0093390804597701	50.0	5.492431805927233	0.9077394687235526	2.7039120156164174	4.978455900264884	5.629328326313145	6.100738747847652	6.912758457821584	50.0	18.096975591498847	4.15159823099177	11.132480633722023	14.844221856120866	17.23454051879031	20.821251350199482	28.112517679388816
153_italian_VG	53.0	0.1663136344847461	0.08734472851449586	0.0654252642174131	0.1069641367806505	0.1381593467225778	0.2201201869574894	0.5816405245564412	53.0	208.81132075471697	53.407380865516785	95.0	179.0	199.0	234.0	328.0	53.0	0.003627746481593354	0.0015904488567211287	0.0009041591320072	0.0027647221454243	0.0035616438356164	0.0042232277526395	0.0093390804597701	53.0	5.681592255660048	0.7285084868868809	2.8073186565629387	5.322040778285911	5.713930389667597	6.213362008934892	6.736576650983992	53.0	19.443509284563497	4.196555334491649	10.26868364720665	16.600372778501097	19.42432313285947	22.00281782178422	28.112517679388816
161_LCarb_and_LFat_10 Week	54.0	0.20252507118748475	0.1102532638722508	0.0656174256920525	0.11491767015843346	0.18683913290560805	0.2738469205881207	0.6813643713266432	54.0	156.77777777777777	98.50211503651416	8.0	62.25	153.0	235.5	357.0	54.0	8.448470213088682e-05	0.00012290355647499946	0.0	3.3370162295696095e-05	6.0222996471904605e-05	9.3110824665124e-05	0.0008160767112108	54.0	4.56903898967174	0.9379833313235479	2.285998703101701	3.8149665677768763	4.779898024806229	5.158604824611226	6.136319176424017	54.0	15.82188332636215	8.750048184221672	4.324742650575129	6.812721051962006	17.50403766525726	23.89657932211464	30.3457838168471
161_LCarb_and_LFat_Baseline	61.0	0.21099162236836985	0.10171398990293092	0.0728150675058857	0.1309395979889411	0.1941704147305121	0.260175319916568	0.5219298245614035	61.0	154.0983606557377	86.31892510105239	5.0	73.0	153.0	215.0	393.0	61.0	0.00010290307056741511	0.00028032416130927684	0.0	2.55656397801355e-05	4.94083351861459e-05	8.962447345621844e-05	0.0021929824561403	61.0	4.421235261481045	0.8346247170542469	2.129181998864994	3.910285228671921	4.510534668810749	4.9032927118780725	5.999218140167942	61.0	16.35119505439169	7.624880014300188	3.35466953389651	7.809869365457969	18.07449908605584	22.821261531026963	32.262376847305774
18_mixed_Fermented	152.0	0.12062541358076954	0.05110416906558042	0.0576335322369378	0.08673476149252138	0.11000953402137885	0.13778042905996657	0.3207941483803553	152.0	176.5065789473684	63.299037657387345	66.0	126.0	167.0	221.0	354.0	152.0	0.0008907200921912368	0.0006477882234540138	0.0	0.00042583375091345	0.0007247836552719	0.001213361220399525	0.0032870708546384	152.0	5.528373558119153	0.5437862762637116	4.067056599954313	5.169434773829752	5.52177799474508	5.960434047635889	6.519097274247737	152.0	17.00006961820029	5.070470908188329	7.841477538622222	13.047530100806139	16.372211112768646	20.43839153103041	30.31063142812581
