# Constructed from biom file
#OTU ID	sample-179	sample-232	sample-45	sample-82	sample-94	sample-6	sample-69	sample-230	sample-160	sample-211	sample-67	sample-131	sample-52	sample-100	sample-167	sample-119	sample-200	sample-21	sample-122	sample-10	sample-195	sample-213	sample-218	sample-206	sample-19	sample-62	sample-31	sample-135	sample-79	sample-171	sample-58	sample-85	sample-77	sample-168	sample-87	sample-222	sample-243	sample-47	sample-30	sample-177	sample-175	sample-169	sample-165	sample-60	sample-13	sample-208	sample-134	sample-193	sample-29	sample-178	sample-3	sample-78	sample-105	sample-118	sample-156	sample-154	sample-209	sample-20	sample-41	sample-205	sample-239	sample-39	sample-162	sample-151	sample-37	sample-140	sample-12	sample-191	sample-201	sample-33	sample-64	sample-75	sample-139	sample-163	sample-233	sample-109	sample-73	sample-224	sample-80	sample-40	sample-133	sample-86	sample-176	sample-89	sample-223	sample-16	sample-104	sample-146	sample-194	sample-192	sample-63	sample-117	sample-15	sample-65	sample-84	sample-144	sample-91	sample-207	sample-106	sample-81	sample-247	sample-161	sample-188	sample-203	sample-138	sample-126	sample-238	sample-234	sample-27	sample-183	sample-76	sample-70	sample-35	sample-173	sample-28	sample-93	sample-116	sample-242	sample-108	sample-155	sample-66	sample-17	sample-1	sample-204	sample-237	sample-2	sample-83	sample-101	sample-197	sample-54	sample-212	sample-55	sample-147	sample-164	sample-38	sample-114	sample-180	sample-32	sample-97	sample-14	sample-196	sample-181	sample-56	sample-229	sample-92	sample-61	sample-221	sample-236	sample-137	sample-185	sample-44	sample-225	sample-186	sample-150	sample-9	sample-136	sample-72	sample-71	sample-8	sample-121	sample-107	sample-53	sample-18	sample-231	sample-88	sample-48	sample-182	sample-26	sample-214	sample-43	sample-90	sample-132	sample-170	sample-115	sample-7	sample-143	sample-152	sample-228	sample-159	sample-111	sample-198	sample-166	sample-248	sample-103	sample-210	sample-4	sample-235	sample-240	sample-219	sample-184	sample-34	sample-227	sample-5	sample-172	sample-68	sample-113	sample-129	sample-142	sample-96	sample-158	sample-174	sample-220	sample-241	sample-95	sample-99	sample-51	sample-190	sample-202	sample-59	sample-124	sample-244	sample-157	sample-149	sample-42	sample-245	sample-112	sample-57	sample-74	sample-24	sample-98	sample-49	sample-246	sample-217	sample-25	sample-249	sample-46	sample-187	sample-189	sample-120	sample-216	sample-23	sample-215	sample-127	sample-130	sample-50	sample-128	sample-153	sample-11	sample-123	sample-145	sample-125	sample-36	sample-226	sample-22	sample-102	sample-110
e8f738055d71fc7399bacbcfb64cbc4b	14511.0	345.0	0.0	0.0	0.0	0.0	0.0	842.0	2581.0	4606.0	0.0	0.0	0.0	0.0	4586.0	0.0	404.0	0.0	0.0	0.0	944.0	964.0	11626.0	3109.0	4.0	0.0	0.0	0.0	0.0	40.0	0.0	5.0	0.0	49.0	0.0	3588.0	672.0	0.0	0.0	355.0	2670.0	17074.0	4816.0	0.0	0.0	4870.0	0.0	679.0	0.0	8256.0	0.0	0.0	0.0	1.0	501.0	550.0	6763.0	0.0	3.0	618.0	9876.0	0.0	1888.0	10644.0	0.0	0.0	0.0	252.0	3904.0	0.0	0.0	0.0	0.0	3676.0	1611.0	0.0	0.0	283.0	2.0	0.0	0.0	0.0	1845.0	5.0	583.0	0.0	0.0	35821.0	10894.0	5627.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	1189.0	0.0	0.0	2126.0	5.0	222.0	253.0	0.0	4.0	4114.0	150.0	0.0	8641.0	0.0	9.0	0.0	1894.0	0.0	0.0	0.0	1747.0	0.0	16962.0	0.0	0.0	0.0	9042.0	20.0	5.0	0.0	0.0	1111.0	0.0	5251.0	0.0	983.0	4287.0	19.0	0.0	388.0	0.0	0.0	0.0	1748.0	1343.0	0.0	2617.0	0.0	0.0	29479.0	6427.0	0.0	10.0	0.0	2508.0	108.0	1267.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4437.0	0.0	0.0	6804.0	0.0	5385.0	0.0	0.0	0.0	7240.0	0.0	0.0	0.0	0.0	1556.0	4349.0	0.0	19641.0	1817.0	4615.0	1.0	9807.0	5.0	229.0	7881.0	3177.0	3463.0	2.0	262.0	4.0	1011.0	5.0	0.0	0.0	0.0	0.0	4388.0	346.0	452.0	7339.0	0.0	0.0	0.0	21.0	334.0	0.0	0.0	9775.0	7463.0	16155.0	0.0	226.0	0.0	0.0	0.0	0.0	0.0	0.0	6585.0	3027.0	0.0	2.0	0.0	9845.0	2328.0	0.0	1406.0	0.0	496.0	0.0	0.0	0.0	0.0	3529.0	0.0	0.0	769.0	0.0	0.0	4233.0	0.0	0.0	0.0
5a84387e3815fbea5a4f8e4cf6faef88	11699.0	94897.0	17.0	0.0	2.0	0.0	56.0	3755.0	89.0	43556.0	71.0	20.0	0.0	117.0	3968.0	9.0	3.0	14.0	23.0	512.0	43.0	22858.0	24000.0	7271.0	24.0	4.0	6.0	11.0	35.0	17212.0	0.0	23.0	303.0	0.0	10.0	75222.0	0.0	59.0	50.0	23208.0	79.0	34.0	4801.0	72.0	21.0	18138.0	0.0	793.0	1587.0	203.0	48.0	4.0	40.0	27.0	13.0	3951.0	707.0	9.0	10.0	84.0	39.0	12.0	13317.0	99.0	32.0	109.0	45.0	3689.0	455.0	6.0	20.0	67.0	11.0	28.0	6654.0	15.0	23.0	6.0	13.0	41.0	399.0	278.0	51777.0	13.0	35415.0	0.0	41.0	118.0	154.0	84.0	235.0	12.0	7.0	9.0	352.0	137.0	0.0	29.0	13.0	21.0	12718.0	31.0	84035.0	8365.0	40.0	255.0	67404.0	21872.0	7.0	70.0	2.0	72.0	103.0	9.0	82.0	25.0	28.0	67056.0	83.0	269.0	96.0	92.0	0.0	15.0	0.0	46.0	4.0	0.0	17.0	121.0	14.0	37.0	6147.0	56236.0	77.0	174.0	0.0	6.0	0.0	70.0	25522.0	5680.0	5.0	12494.0	20.0	11.0	30.0	42266.0	20.0	50.0	70.0	8811.0	29388.0	30262.0	15.0	8.0	0.0	19.0	38.0	125.0	223.0	16.0	7.0	5.0	97.0	0.0	199.0	10.0	19.0	0.0	0.0	189.0	38457.0	0.0	3.0	5.0	0.0	81441.0	47132.0	20.0	28.0	98008.0	3.0	48.0	39.0	18.0	11.0	22.0	64647.0	1209.0	26.0	4.0	52.0	20617.0	99.0	11.0	21.0	8.0	6.0	3130.0	96337.0	8234.0	53935.0	198.0	8.0	56.0	13.0	1802.0	8.0	9.0	3859.0	96.0	52.0	0.0	10986.0	0.0	4.0	10.0	2.0	127.0	54.0	42762.0	764.0	0.0	2.0	2.0	179.0	132.0	16.0	52.0	301.0	4260.0	43.0	8.0	6.0	85.0	3635.0	200.0	0.0	55.0	29.0	167.0	599.0	42.0	109.0	8.0
735252fb1f3a7e11fefcd9b7b957ef7e	7293.0	355.0	2.0	0.0	0.0	0.0	0.0	150.0	3189.0	3770.0	0.0	0.0	0.0	0.0	528.0	0.0	196.0	0.0	0.0	0.0	269.0	75.0	242.0	280.0	3.0	0.0	0.0	0.0	0.0	139.0	0.0	0.0	2.0	36.0	0.0	1563.0	400.0	2.0	0.0	229.0	501.0	1193.0	51.0	0.0	0.0	611.0	0.0	21.0	0.0	2645.0	0.0	0.0	0.0	0.0	346.0	9.0	3881.0	0.0	0.0	431.0	3408.0	0.0	992.0	2422.0	0.0	0.0	0.0	169.0	3299.0	0.0	0.0	0.0	0.0	1200.0	908.0	0.0	0.0	419.0	0.0	0.0	0.0	0.0	1561.0	0.0	3087.0	0.0	0.0	203.0	1344.0	645.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	262.0	0.0	0.0	382.0	0.0	792.0	6.0	3.0	4.0	1261.0	528.0	0.0	461.0	0.0	0.0	0.0	453.0	0.0	0.0	0.0	1577.0	0.0	1416.0	0.0	3.0	0.0	192.0	18.0	2.0	0.0	0.0	1369.0	0.0	280.0	3.0	1574.0	2279.0	3.0	5.0	178.0	0.0	0.0	0.0	1292.0	232.0	0.0	2282.0	2.0	0.0	2765.0	859.0	3.0	3.0	0.0	510.0	105.0	2114.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	313.0	0.0	0.0	1793.0	0.0	520.0	0.0	0.0	0.0	1413.0	0.0	0.0	0.0	0.0	690.0	2084.0	0.0	1796.0	328.0	594.0	2.0	2307.0	0.0	477.0	1059.0	381.0	1056.0	3.0	912.0	0.0	175.0	3.0	0.0	0.0	0.0	0.0	60.0	222.0	29.0	1625.0	0.0	0.0	0.0	0.0	1770.0	0.0	0.0	650.0	2890.0	1323.0	0.0	39.0	0.0	0.0	0.0	2.0	0.0	2.0	681.0	79.0	0.0	0.0	0.0	1592.0	771.0	0.0	2268.0	0.0	40.0	0.0	0.0	0.0	0.0	232.0	0.0	0.0	292.0	0.0	0.0	544.0	0.0	0.0	0.0
04f596280e3838bd132a57060be1d330	6539.0	423.0	2.0	0.0	16.0	2.0	8.0	1558.0	9416.0	3766.0	0.0	44.0	0.0	15.0	1605.0	8.0	1340.0	0.0	2.0	16.0	2063.0	82.0	3351.0	2785.0	35.0	2.0	0.0	0.0	76.0	101.0	5.0	6.0	28.0	8.0	3.0	12905.0	29140.0	4.0	0.0	16891.0	6338.0	13674.0	5701.0	2.0	0.0	2671.0	65.0	1715.0	5.0	14078.0	44.0	0.0	4.0	3.0	524.0	2652.0	19045.0	2.0	6.0	2783.0	18655.0	3.0	15312.0	13855.0	3.0	2.0	5.0	345.0	9110.0	22.0	7.0	27.0	12.0	24014.0	1951.0	0.0	2.0	4291.0	4.0	8.0	4.0	12.0	5504.0	5.0	6827.0	0.0	19.0	7503.0	15464.0	14478.0	2.0	20.0	0.0	3.0	3.0	9.0	2.0	8966.0	7.0	0.0	1206.0	25.0	7422.0	306.0	56.0	0.0	2071.0	350.0	6.0	1739.0	0.0	2.0	2.0	5053.0	46.0	7.0	16.0	8696.0	5.0	13082.0	3.0	25.0	0.0	3136.0	36.0	6.0	0.0	3.0	1032.0	52.0	1763.0	21.0	764.0	2700.0	14.0	3.0	1600.0	36.0	0.0	0.0	565.0	1038.0	2.0	11345.0	4.0	20.0	11021.0	8118.0	9.0	8558.0	11.0	678.0	595.0	7724.0	0.0	0.0	14.0	2.0	9.0	0.0	3.0	2.0	0.0	2948.0	22.0	4.0	9475.0	0.0	7543.0	4.0	0.0	12.0	6164.0	12.0	2.0	4.0	77.0	9229.0	3287.0	9.0	4519.0	5654.0	7201.0	6.0	9715.0	10.0	2842.0	1148.0	3055.0	5249.0	4.0	4706.0	0.0	681.0	5.0	6.0	6.0	5.0	0.0	1905.0	2965.0	348.0	5616.0	12.0	7.0	37.0	18.0	11821.0	4.0	0.0	5508.0	5106.0	16124.0	0.0	1441.0	5.0	0.0	8.0	0.0	21.0	30.0	5996.0	2493.0	2.0	3324.0	3.0	23057.0	2472.0	0.0	15896.0	4.0	966.0	0.0	67.0	0.0	5.0	869.0	0.0	2.0	2505.0	21.0	45.0	2327.0	26.0	10.0	0.0
89c54c9c729b55e6d4593eae89ac519a	5512.0	561.0	3.0	0.0	3.0	0.0	2.0	66.0	2958.0	2498.0	0.0	3.0	0.0	16.0	1203.0	0.0	300.0	0.0	0.0	1.0	604.0	21.0	0.0	845.0	31.0	4.0	2.0	0.0	49.0	92.0	2.0	3.0	14.0	22.0	0.0	2373.0	158.0	20.0	0.0	543.0	1017.0	5063.0	346.0	0.0	0.0	1831.0	17.0	60.0	0.0	5125.0	3.0	3.0	21.0	7.0	793.0	35.0	3720.0	0.0	5.0	243.0	5237.0	3.0	589.0	881.0	1.0	3.0	0.0	189.0	1039.0	4.0	0.0	6.0	2.0	1620.0	1018.0	0.0	0.0	318.0	2.0	11.0	0.0	2.0	2327.0	3.0	2734.0	0.0	13.0	2343.0	2253.0	1320.0	4.0	2.0	8.0	0.0	0.0	8.0	0.0	1772.0	15.0	0.0	1160.0	9.0	658.0	0.0	60.0	4.0	511.0	250.0	0.0	254.0	0.0	2.0	3.0	482.0	3.0	0.0	1.0	1376.0	4.0	2975.0	0.0	2.0	0.0	3162.0	20.0	4.0	0.0	0.0	805.0	0.0	2987.0	3.0	1043.0	1198.0	8.0	20.0	40.0	7.0	0.0	0.0	1942.0	271.0	3.0	2196.0	0.0	1.0	1991.0	1952.0	27.0	134.0	0.0	712.0	102.0	882.0	2.0	0.0	3.0	2.0	5.0	20.0	0.0	0.0	2.0	395.0	0.0	0.0	3361.0	0.0	1127.0	0.0	0.0	4.0	2842.0	2.0	4.0	5.0	0.0	1031.0	1990.0	9.0	2109.0	120.0	1249.0	3.0	1453.0	0.0	411.0	937.0	764.0	887.0	4.0	680.0	0.0	454.0	10.0	0.0	0.0	0.0	0.0	504.0	187.0	80.0	2610.0	0.0	2.0	0.0	5.0	1098.0	0.0	0.0	170.0	1560.0	961.0	0.0	88.0	0.0	7.0	0.0	52.0	3.0	0.0	1395.0	104.0	12.0	25.0	0.0	2446.0	493.0	0.0	1080.0	13.0	38.0	7.0	47.0	4.0	0.0	231.0	0.0	0.0	260.0	0.0	5.0	391.0	3.0	0.0	2.0
7b87d8b43f8730c2b8c12d5d0b25ccb8	3889.0	335.0	0.0	0.0	0.0	0.0	0.0	101.0	6019.0	4993.0	0.0	0.0	0.0	0.0	1042.0	0.0	261.0	0.0	0.0	0.0	745.0	20.0	39.0	261.0	2.0	0.0	0.0	0.0	0.0	50.0	0.0	0.0	0.0	14.0	2.0	5314.0	1272.0	0.0	0.0	499.0	2049.0	3981.0	395.0	0.0	0.0	1069.0	0.0	316.0	0.0	11101.0	0.0	0.0	0.0	0.0	67.0	17.0	4551.0	0.0	0.0	429.0	5274.0	0.0	2058.0	1458.0	0.0	0.0	0.0	334.0	159.0	0.0	0.0	0.0	0.0	1165.0	585.0	0.0	0.0	444.0	0.0	0.0	0.0	0.0	4324.0	0.0	3749.0	0.0	0.0	2057.0	619.0	1203.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	49.0	0.0	0.0	678.0	0.0	937.0	15.0	0.0	0.0	1033.0	214.0	0.0	1094.0	0.0	0.0	0.0	1715.0	0.0	0.0	0.0	3893.0	0.0	2320.0	0.0	2.0	0.0	484.0	31.0	2.0	0.0	0.0	718.0	0.0	1067.0	4.0	805.0	1498.0	7.0	0.0	272.0	0.0	0.0	0.0	1129.0	119.0	0.0	3055.0	2.0	0.0	9667.0	1951.0	0.0	2.0	0.0	386.0	120.0	2476.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	334.0	0.0	0.0	5795.0	0.0	1756.0	0.0	0.0	0.0	2308.0	0.0	0.0	0.0	0.0	140.0	1517.0	4.0	2446.0	575.0	745.0	7.0	1867.0	4.0	294.0	1160.0	392.0	509.0	0.0	1043.0	0.0	62.0	4.0	0.0	0.0	0.0	0.0	80.0	367.0	23.0	3776.0	0.0	0.0	0.0	5.0	3635.0	0.0	0.0	399.0	4446.0	3646.0	0.0	110.0	0.0	0.0	0.0	0.0	0.0	0.0	1027.0	68.0	0.0	0.0	0.0	4814.0	884.0	0.0	1949.0	0.0	168.0	0.0	0.0	0.0	0.0	211.0	0.0	0.0	209.0	0.0	0.0	2026.0	0.0	0.0	0.0
2997deb4af61c08595486f5a46a16849	3094.0	732.0	0.0	0.0	0.0	0.0	0.0	0.0	2439.0	1846.0	0.0	0.0	0.0	0.0	1380.0	0.0	289.0	0.0	0.0	0.0	157.0	207.0	5138.0	865.0	0.0	0.0	0.0	0.0	0.0	99.0	0.0	1.0	0.0	49.0	0.0	1823.0	873.0	0.0	0.0	1301.0	3.0	5068.0	751.0	0.0	0.0	123.0	0.0	565.0	0.0	2534.0	0.0	0.0	0.0	0.0	61.0	824.0	467.0	0.0	0.0	989.0	587.0	0.0	6275.0	391.0	0.0	0.0	0.0	88.0	3307.0	0.0	0.0	0.0	0.0	3577.0	445.0	0.0	0.0	284.0	0.0	0.0	0.0	0.0	1764.0	0.0	849.0	0.0	0.0	5436.0	3454.0	2855.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	141.0	0.0	0.0	673.0	18.0	59.0	149.0	0.0	0.0	6924.0	243.0	0.0	1329.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	273.0	0.0	3096.0	0.0	0.0	0.0	876.0	17.0	0.0	0.0	0.0	30.0	0.0	1077.0	0.0	383.0	816.0	7.0	0.0	851.0	0.0	0.0	0.0	299.0	960.0	0.0	3193.0	0.0	0.0	201.0	1791.0	0.0	7.0	0.0	249.0	239.0	116.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	174.0	0.0	0.0	1709.0	0.0	259.0	0.0	0.0	0.0	3460.0	0.0	0.0	0.0	0.0	567.0	1895.0	0.0	0.0	1613.0	6606.0	0.0	4828.0	0.0	45.0	1691.0	3722.0	787.0	0.0	69.0	0.0	304.0	3.0	0.0	0.0	0.0	0.0	1514.0	390.0	627.0	953.0	0.0	0.0	0.0	48.0	188.0	0.0	0.0	12775.0	5739.0	1176.0	0.0	430.0	0.0	0.0	0.0	0.0	0.0	0.0	1042.0	4254.0	0.0	0.0	0.0	174.0	133.0	0.0	278.0	0.0	167.0	0.0	0.0	0.0	0.0	3126.0	0.0	0.0	1728.0	0.0	0.0	1488.0	0.0	0.0	0.0
60a44a123930ef3e3419bcdbea5eca66	2901.0	295.0	8.0	0.0	25.0	26.0	74.0	195.0	10424.0	5499.0	0.0	333.0	3.0	514.0	745.0	9.0	409.0	5.0	2.0	36.0	856.0	278.0	126.0	418.0	88.0	34.0	0.0	2.0	16.0	165.0	38.0	27.0	105.0	17.0	3.0	4587.0	1232.0	11.0	15.0	2151.0	3201.0	6804.0	699.0	0.0	10.0	3381.0	2.0	422.0	0.0	5895.0	0.0	6.0	36.0	16.0	743.0	535.0	13424.0	3.0	6.0	1164.0	10107.0	4.0	1101.0	11731.0	8.0	43.0	2.0	445.0	3938.0	14.0	0.0	25.0	5.0	4143.0	867.0	9.0	0.0	1251.0	0.0	42.0	123.0	67.0	2528.0	6.0	7347.0	3.0	22.0	4185.0	5793.0	2338.0	4.0	24.0	38.0	2.0	42.0	38.0	7.0	282.0	38.0	5.0	1327.0	2.0	2142.0	21.0	1245.0	3.0	1174.0	877.0	3.0	1100.0	0.0	0.0	23.0	4797.0	0.0	3.0	4.0	4352.0	8.0	2704.0	6.0	12.0	0.0	297.0	66.0	22.0	5.0	21.0	1239.0	10.0	1772.0	2.0	1051.0	840.0	10.0	40.0	890.0	32.0	0.0	9.0	867.0	210.0	5.0	7715.0	3.0	5.0	5864.0	4374.0	236.0	7.0	15.0	599.0	149.0	7507.0	2.0	0.0	6.0	2.0	4.0	2.0	0.0	11.0	11.0	135.0	64.0	25.0	9611.0	36.0	1174.0	10.0	16.0	185.0	2108.0	5.0	2.0	0.0	0.0	4310.0	935.0	5.0	3967.0	786.0	2950.0	5.0	6943.0	5.0	9433.0	662.0	1593.0	6472.0	2.0	4968.0	0.0	664.0	9.0	2.0	196.0	0.0	2.0	149.0	713.0	33.0	2757.0	51.0	17.0	11.0	3.0	5938.0	3.0	0.0	2017.0	5462.0	9804.0	0.0	122.0	4.0	4.0	9.0	122.0	182.0	46.0	3799.0	1045.0	4.0	14.0	10.0	8639.0	771.0	0.0	5297.0	5.0	602.0	50.0	656.0	20.0	0.0	516.0	14.0	4.0	1754.0	9.0	73.0	1041.0	8.0	13.0	16.0
d7a8d9a6d6b04169687984896219fde5	2581.0	1181.0	0.0	0.0	0.0	0.0	0.0	89.0	3232.0	836.0	0.0	0.0	0.0	0.0	297.0	0.0	73.0	0.0	0.0	0.0	218.0	21.0	785.0	619.0	0.0	0.0	0.0	0.0	0.0	68.0	0.0	0.0	2.0	2.0	0.0	434.0	706.0	0.0	0.0	900.0	199.0	1665.0	804.0	0.0	0.0	388.0	0.0	1730.0	0.0	843.0	0.0	0.0	0.0	0.0	112.0	485.0	1905.0	0.0	0.0	163.0	1814.0	0.0	154.0	472.0	0.0	0.0	0.0	42.0	33.0	0.0	0.0	0.0	0.0	1613.0	788.0	0.0	0.0	467.0	2.0	0.0	0.0	0.0	440.0	0.0	1029.0	0.0	0.0	0.0	7600.0	3491.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	2083.0	0.0	0.0	40.0	2.0	597.0	77.0	0.0	2.0	367.0	517.0	0.0	251.0	0.0	0.0	0.0	58.0	0.0	0.0	0.0	374.0	0.0	685.0	0.0	3.0	0.0	453.0	22.0	0.0	0.0	0.0	1360.0	0.0	84.0	2.0	105.0	228.0	2.0	0.0	619.0	0.0	0.0	0.0	45.0	330.0	0.0	1272.0	0.0	0.0	1118.0	388.0	0.0	18.0	0.0	404.0	399.0	3634.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	371.0	2.0	0.0	5907.0	0.0	244.0	0.0	0.0	0.0	224.0	0.0	0.0	2.0	0.0	813.0	367.0	2.0	564.0	1562.0	104.0	0.0	7955.0	0.0	239.0	399.0	151.0	74.0	5.0	0.0	0.0	251.0	2.0	0.0	0.0	0.0	0.0	76.0	230.0	217.0	201.0	0.0	0.0	0.0	0.0	4514.0	0.0	0.0	954.0	238.0	416.0	0.0	85.0	0.0	0.0	0.0	2.0	0.0	0.0	234.0	125.0	0.0	129.0	2.0	2747.0	44.0	0.0	9539.0	3.0	15.0	0.0	0.0	3.0	0.0	403.0	0.0	0.0	38.0	3.0	0.0	62.0	0.0	0.0	0.0
bc3c5f9b7fd91a4f866a97ac0a2bfe69	2175.0	59.0	0.0	0.0	0.0	0.0	0.0	0.0	76.0	3343.0	0.0	0.0	0.0	0.0	155.0	0.0	66.0	0.0	0.0	0.0	88.0	7.0	414.0	510.0	0.0	0.0	0.0	0.0	0.0	7.0	0.0	0.0	0.0	31.0	0.0	126.0	37.0	0.0	0.0	0.0	126.0	0.0	17.0	0.0	0.0	853.0	0.0	1.0	0.0	2026.0	0.0	0.0	0.0	0.0	7.0	8.0	6.0	0.0	0.0	67.0	38.0	2.0	44.0	639.0	0.0	0.0	0.0	0.0	1827.0	0.0	0.0	0.0	0.0	77.0	312.0	0.0	0.0	32.0	0.0	0.0	0.0	0.0	619.0	0.0	985.0	0.0	0.0	58.0	567.0	58.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	12.0	0.0	0.0	337.0	0.0	23.0	1.0	0.0	0.0	74.0	51.0	0.0	1995.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	45.0	0.0	1972.0	0.0	0.0	0.0	22.0	0.0	0.0	0.0	0.0	0.0	0.0	205.0	0.0	135.0	246.0	0.0	0.0	0.0	0.0	0.0	0.0	582.0	479.0	0.0	603.0	0.0	0.0	0.0	481.0	0.0	4.0	0.0	389.0	35.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	723.0	0.0	0.0	202.0	0.0	120.0	0.0	0.0	0.0	1694.0	0.0	0.0	0.0	0.0	82.0	1675.0	0.0	112.0	29.0	131.0	0.0	345.0	0.0	4.0	3124.0	0.0	12.0	0.0	11.0	0.0	11.0	0.0	0.0	0.0	0.0	0.0	35.0	161.0	23.0	59.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4888.0	4163.0	239.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	667.0	104.0	0.0	0.0	0.0	28.0	166.0	0.0	225.0	0.0	2.0	0.0	0.0	0.0	0.0	424.0	0.0	0.0	0.0	0.0	0.0	171.0	0.0	0.0	0.0
