sample-id,Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,BioSampleModel,Bytes,Center Name,Collection_Date,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,env_biome,env_feature,env_material,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,Host,Instrument,Label,lat_lon,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,Sample Name,SRA Study,groups,city
sample-1,SRR1298447,AMPLICON,578,4882346,PRJNA247489,SAMN02781560,"MIMS.me,MIGS/MIMS/MIMARKS.human-gut",10669334,UNIVERSITÀ DI NAPOLI FEDERICO II - DIPARTIMENTO DI,2013,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",feces,feces,feces,SRX552709,Italy,Europe,Italy,Homo sapiens,454 GS Junior,fecal microbiota from omnivorous subject from Bari 01,NA,SINGLE,PCR,METAGENOMIC,human gut metagenome,LS454,2015-03-27T00:00:00Z,01-BA-O-F,SRP042234,O,Bari
sample-2,SRR1298448,AMPLICON,577,3931442,PRJNA247489,SAMN02781464,"MIMS.me,MIGS/MIMS/MIMARKS.human-gut",8620315,UNIVERSITÀ DI NAPOLI FEDERICO II - DIPARTIMENTO DI,2013,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",feces,feces,feces,SRX552710,Italy,Europe,Italy,Homo sapiens,454 GS Junior,fecal microbiota from vegan subject from Bari 01,NA,SINGLE,PCR,METAGENOMIC,human gut metagenome,LS454,2015-03-27T00:00:00Z,01-BA-V-F,SRP042234,V,Bari
sample-3,SRR1298449,AMPLICON,575,4239650,PRJNA247489,SAMN02781500,"MIMS.me,MIGS/MIMS/MIMARKS.human-gut",9264199,UNIVERSITÀ DI NAPOLI FEDERICO II - DIPARTIMENTO DI,2013,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",feces,feces,feces,SRX552711,Italy,Europe,Italy,Homo sapiens,454 GS Junior,fecal microbiota from vegetarian subject from Bari 01,NA,SINGLE,PCR,METAGENOMIC,human gut metagenome,LS454,2015-03-27T00:00:00Z,01-BA-VG-F,SRP042234,VG,Bari
sample-4,SRR1298450,AMPLICON,548,3780622,PRJNA247489,SAMN02781551,"MIMS.me,MIGS/MIMS/MIMARKS.human-gut",8288946,UNIVERSITÀ DI NAPOLI FEDERICO II - DIPARTIMENTO DI,2013,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",feces,feces,feces,SRX552712,Italy,Europe,Italy,Homo sapiens,454 GS Junior,fecal microbiota from vegetarian subject from Bologna 01,NA,SINGLE,PCR,METAGENOMIC,human gut metagenome,LS454,2015-03-27T00:00:00Z,01-BO-VG-F,SRP042234,VG,Bologna
sample-5,SRR1298451,AMPLICON,461,2794718,PRJNA247489,SAMN02781484,"MIMS.me,MIGS/MIMS/MIMARKS.human-gut",6540975,UNIVERSITÀ DI NAPOLI FEDERICO II - DIPARTIMENTO DI,2013,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",feces,feces,feces,SRX552713,Italy,Europe,Italy,Homo sapiens,454 GS Junior,fecal microbiota from vegetarian subject from Torino 01,NA,SINGLE,PCR,METAGENOMIC,human gut metagenome,LS454,2015-03-27T00:00:00Z,01-TO-VG-F,SRP042234,VG,Torino
sample-6,SRR1298452,AMPLICON,571,3719269,PRJNA247489,SAMN02781561,"MIMS.me,MIGS/MIMS/MIMARKS.human-gut",8193413,UNIVERSITÀ DI NAPOLI FEDERICO II - DIPARTIMENTO DI,2013,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",feces,feces,feces,SRX552714,Italy,Europe,Italy,Homo sapiens,454 GS Junior,fecal microbiota from omnivorous subject from Bari 02,NA,SINGLE,PCR,METAGENOMIC,human gut metagenome,LS454,2015-03-27T00:00:00Z,02-BA-O-F,SRP042234,O,Bari
sample-7,SRR1298453,AMPLICON,582,3879136,PRJNA247489,SAMN02781465,"MIMS.me,MIGS/MIMS/MIMARKS.human-gut",8428981,UNIVERSITÀ DI NAPOLI FEDERICO II - DIPARTIMENTO DI,2013,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",feces,feces,feces,SRX552715,Italy,Europe,Italy,Homo sapiens,454 GS Junior,fecal microbiota from vegan subject from Bari 02,NA,SINGLE,PCR,METAGENOMIC,human gut metagenome,LS454,2015-03-27T00:00:00Z,02-BA-V-F,SRP042234,V,Bari
sample-8,SRR1298454,AMPLICON,567,3055149,PRJNA247489,SAMN02781501,"MIMS.me,MIGS/MIMS/MIMARKS.human-gut",6735146,UNIVERSITÀ DI NAPOLI FEDERICO II - DIPARTIMENTO DI,2013,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",feces,feces,feces,SRX552716,Italy,Europe,Italy,Homo sapiens,454 GS Junior,fecal microbiota from vegetarian subject from Bari 02,NA,SINGLE,PCR,METAGENOMIC,human gut metagenome,LS454,2015-03-27T00:00:00Z,02-BA-VG-F,SRP042234,VG,Bari
sample-9,SRR1298455,AMPLICON,547,3430548,PRJNA247489,SAMN02781521,"MIMS.me,MIGS/MIMS/MIMARKS.human-gut",7462489,UNIVERSITÀ DI NAPOLI FEDERICO II - DIPARTIMENTO DI,2013,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",feces,feces,feces,SRX552717,Italy,Europe,Italy,Homo sapiens,454 GS Junior,fecal microbiota from vegan subject from Bologna 02,NA,SINGLE,PCR,METAGENOMIC,human gut metagenome,LS454,2015-03-27T00:00:00Z,02-BO-V-F,SRP042234,V,Bologna
sample-10,SRR1298456,AMPLICON,521,5513956,PRJNA247489,SAMN02781431,"MIMS.me,MIGS/MIMS/MIMARKS.human-gut",12215704,UNIVERSITÀ DI NAPOLI FEDERICO II - DIPARTIMENTO DI,2013,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",feces,feces,feces,SRX552718,Italy,Europe,Italy,Homo sapiens,454 GS Junior,fecal microbiota from vegetarian subject from Parma 02,NA,SINGLE,PCR,METAGENOMIC,human gut metagenome,LS454,2015-03-27T00:00:00Z,02-PR-VG-F,SRP042234,VG,Parma
sample-11,SRR1298457,AMPLICON,575,3329864,PRJNA247489,SAMN02781468,"MIMS.me,MIGS/MIMS/MIMARKS.human-gut",7160432,UNIVERSITÀ DI NAPOLI FEDERICO II - DIPARTIMENTO DI,2013,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",feces,feces,feces,SRX552719,Italy,Europe,Italy,Homo sapiens,454 GS Junior,fecal microbiota from vegetarian subject from Torino 02,NA,SINGLE,PCR,METAGENOMIC,human gut metagenome,LS454,2015-03-27T00:00:00Z,02-TO-VG-F,SRP042234,VG,Torino
sample-12,SRR1298458,AMPLICON,577,4215750,PRJNA247489,SAMN02781562,"MIMS.me,MIGS/MIMS/MIMARKS.human-gut",9237189,UNIVERSITÀ DI NAPOLI FEDERICO II - DIPARTIMENTO DI,2013,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",feces,feces,feces,SRX552720,Italy,Europe,Italy,Homo sapiens,454 GS Junior,fecal microbiota from omnivorous subject from Bari 03,NA,SINGLE,PCR,METAGENOMIC,human gut metagenome,LS454,2015-03-27T00:00:00Z,03-BA-O-F,SRP042234,O,Bari
sample-13,SRR1298459,AMPLICON,583,3977697,PRJNA247489,SAMN02781466,"MIMS.me,MIGS/MIMS/MIMARKS.human-gut",8714989,UNIVERSITÀ DI NAPOLI FEDERICO II - DIPARTIMENTO DI,2013,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",feces,feces,feces,SRX552721,Italy,Europe,Italy,Homo sapiens,454 GS Junior,fecal microbiota from vegan subject from Bari 03,NA,SINGLE,PCR,METAGENOMIC,human gut metagenome,LS454,2015-03-27T00:00:00Z,03-BA-V-F,SRP042234,V,Bari
sample-14,SRR1298460,AMPLICON,574,3748331,PRJNA247489,SAMN02781457,"MIMS.me,MIGS/MIMS/MIMARKS.human-gut",8215679,UNIVERSITÀ DI NAPOLI FEDERICO II - DIPARTIMENTO DI,2013,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",feces,feces,feces,SRX552722,Italy,Europe,Italy,Homo sapiens,454 GS Junior,fecal microbiota from vegetarian subject from Bari 03,NA,SINGLE,PCR,METAGENOMIC,human gut metagenome,LS454,2015-03-27T00:00:00Z,03-BA-VG-F,SRP042234,VG,Bari
sample-15,SRR1298461,AMPLICON,460,2433385,PRJNA247489,SAMN02781531,"MIMS.me,MIGS/MIMS/MIMARKS.human-gut",5656053,UNIVERSITÀ DI NAPOLI FEDERICO II - DIPARTIMENTO DI,2013,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",feces,feces,feces,SRX552723,Italy,Europe,Italy,Homo sapiens,454 GS Junior,fecal microbiota from omnivorous subject from Bologna 03,NA,SINGLE,PCR,METAGENOMIC,human gut metagenome,LS454,2015-03-27T00:00:00Z,03-BO-O-F,SRP042234,O,Bologna
sample-16,SRR1298462,AMPLICON,570,4972951,PRJNA247489,SAMN02781432,"MIMS.me,MIGS/MIMS/MIMARKS.human-gut",10824433,UNIVERSITÀ DI NAPOLI FEDERICO II - DIPARTIMENTO DI,2013,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",feces,feces,feces,SRX552724,Italy,Europe,Italy,Homo sapiens,454 GS Junior,fecal microbiota from vegetarian subject from Parma 03,NA,SINGLE,PCR,METAGENOMIC,human gut metagenome,LS454,2015-03-27T00:00:00Z,03-PR-VG-F,SRP042234,VG,Parma
sample-17,SRR1298463,AMPLICON,534,3406299,PRJNA247489,SAMN02781526,"MIMS.me,MIGS/MIMS/MIMARKS.human-gut",7492371,UNIVERSITÀ DI NAPOLI FEDERICO II - DIPARTIMENTO DI,2013,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",feces,feces,feces,SRX552725,Italy,Europe,Italy,Homo sapiens,454 GS Junior,fecal microbiota from vegan subject from Torino 03,NA,SINGLE,PCR,METAGENOMIC,human gut metagenome,LS454,2015-03-27T00:00:00Z,03-TO-V-F,SRP042234,V,Torino
sample-18,SRR1298464,AMPLICON,578,4390675,PRJNA247489,SAMN02781563,"MIMS.me,MIGS/MIMS/MIMARKS.human-gut",9644561,UNIVERSITÀ DI NAPOLI FEDERICO II - DIPARTIMENTO DI,2013,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",feces,feces,feces,SRX552726,Italy,Europe,Italy,Homo sapiens,454 GS Junior,fecal microbiota from omnivorous subject from Bari 04,NA,SINGLE,PCR,METAGENOMIC,human gut metagenome,LS454,2015-03-27T00:00:00Z,04-BA-O-F,SRP042234,O,Bari
sample-19,SRR1298465,AMPLICON,581,3383917,PRJNA247489,SAMN02781502,"MIMS.me,MIGS/MIMS/MIMARKS.human-gut",7402084,UNIVERSITÀ DI NAPOLI FEDERICO II - DIPARTIMENTO DI,2013,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",feces,feces,feces,SRX552727,Italy,Europe,Italy,Homo sapiens,454 GS Junior,fecal microbiota from vegan subject from Bari 04,NA,SINGLE,PCR,METAGENOMIC,human gut metagenome,LS454,2015-03-27T00:00:00Z,04-BA-V-F,SRP042234,V,Bari
sample-20,SRR1298466,AMPLICON,587,4677680,PRJNA247489,SAMN02781458,"MIMS.me,MIGS/MIMS/MIMARKS.human-gut",10136907,UNIVERSITÀ DI NAPOLI FEDERICO II - DIPARTIMENTO DI,2013,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",feces,feces,feces,SRX552728,Italy,Europe,Italy,Homo sapiens,454 GS Junior,fecal microbiota from vegetarian subject from Bari 04,NA,SINGLE,PCR,METAGENOMIC,human gut metagenome,LS454,2015-03-27T00:00:00Z,04-BA-VG-F,SRP042234,VG,Bari
sample-21,SRR1298467,AMPLICON,482,2706693,PRJNA247489,SAMN02781552,"MIMS.me,MIGS/MIMS/MIMARKS.human-gut",6208565,UNIVERSITÀ DI NAPOLI FEDERICO II - DIPARTIMENTO DI,2013,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",feces,feces,feces,SRX552729,Italy,Europe,Italy,Homo sapiens,454 GS Junior,fecal microbiota from vegetarian subject from Bologna 04,NA,SINGLE,PCR,METAGENOMIC,human gut metagenome,LS454,2015-03-27T00:00:00Z,04-BO-VG-F,SRP042234,VG,Bologna
sample-22,SRR1298468,AMPLICON,570,4987654,PRJNA247489,SAMN02781433,"MIMS.me,MIGS/MIMS/MIMARKS.human-gut",10839104,UNIVERSITÀ DI NAPOLI FEDERICO II - DIPARTIMENTO DI,2013,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",feces,feces,feces,SRX552730,Italy,Europe,Italy,Homo sapiens,454 GS Junior,fecal microbiota from vegetarian subject from Parma 04,NA,SINGLE,PCR,METAGENOMIC,human gut metagenome,LS454,2015-03-27T00:00:00Z,04-PR-VG-F,SRP042234,VG,Parma
sample-23,SRR1298469,AMPLICON,573,3282387,PRJNA247489,SAMN02781519,"MIMS.me,MIGS/MIMS/MIMARKS.human-gut",7154303,UNIVERSITÀ DI NAPOLI FEDERICO II - DIPARTIMENTO DI,2013,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",feces,feces,feces,SRX552731,Italy,Europe,Italy,Homo sapiens,454 GS Junior,fecal microbiota from vegetarian subject from Torino 04,NA,SINGLE,PCR,METAGENOMIC,human gut metagenome,LS454,2015-03-27T00:00:00Z,04-TO-VG-F,SRP042234,VG,Torino
sample-24,SRR1298470,AMPLICON,574,4373000,PRJNA247489,SAMN02781564,"MIMS.me,MIGS/MIMS/MIMARKS.human-gut",9642178,UNIVERSITÀ DI NAPOLI FEDERICO II - DIPARTIMENTO DI,2013,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",feces,feces,feces,SRX552732,Italy,Europe,Italy,Homo sapiens,454 GS Junior,fecal microbiota from omnivorous subject from Bari 05,NA,SINGLE,PCR,METAGENOMIC,human gut metagenome,LS454,2015-03-27T00:00:00Z,05-BA-O-F,SRP042234,O,Bari
sample-25,SRR1298471,AMPLICON,556,3728688,PRJNA247489,SAMN02781482,"MIMS.me,MIGS/MIMS/MIMARKS.human-gut",8019549,UNIVERSITÀ DI NAPOLI FEDERICO II - DIPARTIMENTO DI,2013,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",feces,feces,feces,SRX552733,Italy,Europe,Italy,Homo sapiens,454 GS Junior,fecal microbiota from vegan subject from Bari 05,NA,SINGLE,PCR,METAGENOMIC,human gut metagenome,LS454,2015-03-27T00:00:00Z,05-BA-V-F,SRP042234,V,Bari
sample-26,SRR1298472,AMPLICON,545,1723120,PRJNA247489,SAMN02781459,"MIMS.me,MIGS/MIMS/MIMARKS.human-gut",3749660,UNIVERSITÀ DI NAPOLI FEDERICO II - DIPARTIMENTO DI,2013,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",feces,feces,feces,SRX552734,Italy,Europe,Italy,Homo sapiens,454 GS Junior,fecal microbiota from vegetarian subject from Bari 05,NA,SINGLE,PCR,METAGENOMIC,human gut metagenome,LS454,2015-03-27T00:00:00Z,05-BA-VG-F,SRP042234,VG,Bari
sample-27,SRR1298473,AMPLICON,557,3439128,PRJNA247489,SAMN02781522,"MIMS.me,MIGS/MIMS/MIMARKS.human-gut",7573412,UNIVERSITÀ DI NAPOLI FEDERICO II - DIPARTIMENTO DI,2013,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",feces,feces,feces,SRX552735,Italy,Europe,Italy,Homo sapiens,454 GS Junior,fecal microbiota from vegetarian subject from Bologna 05,NA,SINGLE,PCR,METAGENOMIC,human gut metagenome,LS454,2015-03-27T00:00:00Z,05-BO-VG-F,SRP042234,VG,Bologna
sample-28,SRR1298474,AMPLICON,575,4880875,PRJNA247489,SAMN02781434,"MIMS.me,MIGS/MIMS/MIMARKS.human-gut",10509551,UNIVERSITÀ DI NAPOLI FEDERICO II - DIPARTIMENTO DI,2013,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",feces,feces,feces,SRX552736,Italy,Europe,Italy,Homo sapiens,454 GS Junior,fecal microbiota from vegetarian subject from Parma 05,NA,SINGLE,PCR,METAGENOMIC,human gut metagenome,LS454,2015-03-27T00:00:00Z,05-PR-VG-F,SRP042234,VG,Parma
