sample-id,Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,BioSampleModel,Bytes,Center Name,collection_date,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,env_broad_scale,env_local_scale,env_medium,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,host_body_product,host_diet,host,host_subject_id,Instrument,isol_growth_condt,isolate,lat_lon,Library Name,LibraryLayout,LibrarySelection,LibrarySource,misc_param,Organism,Platform,ReleaseDate,Sample Name,source_material_id,SRA Study
sample-1,SRR15032078,AMPLICON,301,7280287,PRJNA743361,SAMN20031324,"MIMARKS.specimen,MIGS/MIMS/MIMARKS.human-gut",3160156,SONNENBURGLAB,2017,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",human_gut,healthy_adults,stool,SRX11343732,USA,North America,USA: California,stool,Fiber,Homo sapiens,8013,Illumina MiSeq,https://www.biorxiv.org/content/10.1101/2020.09.30.321448v102,8014,37.4275 N 122.1697 W,fefifo_8013_8_196__16S,SINGLE,PCR,METAGENOMIC,8,human gut metagenome,ILLUMINA,2021-07-03T00:00:00Z,fefifo_8013_8_196,8014,SRP326733
sample-2,SRR15032079,AMPLICON,301,1502291,PRJNA743361,SAMN20031234,"MIMARKS.specimen,MIGS/MIMS/MIMARKS.human-gut",722938,SONNENBURGLAB,2017,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",human_gut,healthy_adults,stool,SRX11343731,USA,North America,USA: California,stool,Fiber,Homo sapiens,8018,Illumina MiSeq,https://www.biorxiv.org/content/10.1101/2020.09.30.321448v12,4019,37.4275 N 122.1697 W,fefifo_8018_4_108__16S,SINGLE,PCR,METAGENOMIC,4,human gut metagenome,ILLUMINA,2021-07-03T00:00:00Z,fefifo_8018_4_108,4019,SRP326733
sample-3,SRR15032080,AMPLICON,301,3894639,PRJNA743361,SAMN20031225,"MIMARKS.specimen,MIGS/MIMS/MIMARKS.human-gut",1749367,SONNENBURGLAB,2017,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",human_gut,healthy_adults,stool,SRX11343730,USA,North America,USA: California,stool,Fermented,Homo sapiens,8011,Illumina MiSeq,https://www.biorxiv.org/content/10.1101/2020.09.30.321448v3,3012,37.4275 N 122.1697 W,fefifo_8011_3_10__16S,SINGLE,PCR,METAGENOMIC,3,human gut metagenome,ILLUMINA,2021-07-03T00:00:00Z,fefifo_8011_3_10,3012,SRP326733
sample-4,SRR15032081,AMPLICON,301,639023,PRJNA743361,SAMN20031224,"MIMARKS.specimen,MIGS/MIMS/MIMARKS.human-gut",355249,SONNENBURGLAB,2017,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",human_gut,healthy_adults,stool,SRX11343729,USA,North America,USA: California,stool,Fermented,Homo sapiens,8027,Illumina MiSeq,https://www.biorxiv.org/content/10.1101/2020.09.30.321448v2,2028,37.4275 N 122.1697 W,fefifo_8027_2_1__16S,SINGLE,PCR,METAGENOMIC,2,human gut metagenome,ILLUMINA,2021-07-03T00:00:00Z,fefifo_8027_2_1,2028,SRP326733
sample-5,SRR15032082,AMPLICON,301,9979655,PRJNA743361,SAMN20031323,"MIMARKS.specimen,MIGS/MIMS/MIMARKS.human-gut",4467334,SONNENBURGLAB,2017,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",human_gut,healthy_adults,stool,SRX11343728,USA,North America,USA: California,stool,Fiber,Homo sapiens,8029,Illumina MiSeq,https://www.biorxiv.org/content/10.1101/2020.09.30.321448v101,7030,37.4275 N 122.1697 W,fefifo_8029_7_195__16S,SINGLE,PCR,METAGENOMIC,7,human gut metagenome,ILLUMINA,2021-07-03T00:00:00Z,fefifo_8029_7_195,7030,SRP326733
sample-6,SRR15032083,AMPLICON,301,5064626,PRJNA743361,SAMN20031322,"MIMARKS.specimen,MIGS/MIMS/MIMARKS.human-gut",2260563,SONNENBURGLAB,2017,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",human_gut,healthy_adults,stool,SRX11343727,USA,North America,USA: California,stool,Fiber,Homo sapiens,8029,Illumina MiSeq,https://www.biorxiv.org/content/10.1101/2020.09.30.321448v100,6030,37.4275 N 122.1697 W,fefifo_8029_6_194__16S,SINGLE,PCR,METAGENOMIC,6,human gut metagenome,ILLUMINA,2021-07-03T00:00:00Z,fefifo_8029_6_194,6030,SRP326733
sample-7,SRR15032084,AMPLICON,301,21746949,PRJNA743361,SAMN20031321,"MIMARKS.specimen,MIGS/MIMS/MIMARKS.human-gut",9429002,SONNENBURGLAB,2017,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",human_gut,healthy_adults,stool,SRX11343726,USA,North America,USA: California,stool,Fermented,Homo sapiens,8020,Illumina MiSeq,https://www.biorxiv.org/content/10.1101/2020.09.30.321448v99,7021,37.4275 N 122.1697 W,fefifo_8020_7_193__16S,SINGLE,PCR,METAGENOMIC,7,human gut metagenome,ILLUMINA,2021-07-03T00:00:00Z,fefifo_8020_7_193,7021,SRP326733
sample-8,SRR15032085,AMPLICON,301,5525758,PRJNA743361,SAMN20031320,"MIMARKS.specimen,MIGS/MIMS/MIMARKS.human-gut",2452229,SONNENBURGLAB,2017,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",human_gut,healthy_adults,stool,SRX11343725,USA,North America,USA: California,stool,Fermented,Homo sapiens,8028,Illumina MiSeq,https://www.biorxiv.org/content/10.1101/2020.09.30.321448v98,9029,37.4275 N 122.1697 W,fefifo_8028_9_192__16S,SINGLE,PCR,METAGENOMIC,9,human gut metagenome,ILLUMINA,2021-07-03T00:00:00Z,fefifo_8028_9_192,9029,SRP326733
sample-9,SRR15032086,AMPLICON,301,1173900,PRJNA743361,SAMN20031319,"MIMARKS.specimen,MIGS/MIMS/MIMARKS.human-gut",574215,SONNENBURGLAB,2017,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",human_gut,healthy_adults,stool,SRX11343724,USA,North America,USA: California,stool,Fiber,Homo sapiens,8007,Illumina MiSeq,https://www.biorxiv.org/content/10.1101/2020.09.30.321448v97,8008,37.4275 N 122.1697 W,fefifo_8007_8_191__16S,SINGLE,PCR,METAGENOMIC,8,human gut metagenome,ILLUMINA,2021-07-03T00:00:00Z,fefifo_8007_8_191,8008,SRP326733
sample-10,SRR15032087,AMPLICON,301,1967336,PRJNA743361,SAMN20031318,"MIMARKS.specimen,MIGS/MIMS/MIMARKS.human-gut",937622,SONNENBURGLAB,2017,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",human_gut,healthy_adults,stool,SRX11343723,USA,North America,USA: California,stool,Fermented,Homo sapiens,8004,Illumina MiSeq,https://www.biorxiv.org/content/10.1101/2020.09.30.321448v96,5005,37.4275 N 122.1697 W,fefifo_8004_5_19__16S,SINGLE,PCR,METAGENOMIC,5,human gut metagenome,ILLUMINA,2021-07-03T00:00:00Z,fefifo_8004_5_19,5005,SRP326733
