folder	dataset	sample-id	ace	berger_parker_d	brillouin_d	chao1	dominance	doubles	enspie	faith_pd	fisher_alpha	gini_index	goods_coverage	heip_e	lladser_pe	margalef	mcintosh_d	menhinick	observed_features	pielou_evenness	robbins	shannon_entropy	simpson	singles	strong	sample-frequency	Run	Alias	Assay Type	AvgSpotLen	Bases	BioProject	BioSample	Bytes	Center Name	Collection_Date	Consent	DATASTORE filetype	DATASTORE provider	DATASTORE region	ena_checklist	ENA-FIRST-PUBLIC (run)	ENA-LAST-UPDATE (run)	environment_(biome)	environment_(feature)	environment_(material)	Experiment	geo_loc_name_country	geo_loc_name_country_continent	geographic_location_(country_and/or_sea)	geographic_location_(latitude)	geographic_location_(longitude)	human_gut_environmental_package	INSDC_center_name	INSDC_first_public	INSDC_last_update	INSDC_status	Instrument	Investigation_type	Library Name	LibraryLayout	LibrarySelection	LibrarySource	Organism	Platform	project_name	ReleaseDate	Sample Name	sample_name	Sequencing_method	SRA_accession	SRA Study	title	host_subject_id	INSDC_center_alias	run_accession	numID	group
248_citizen	248_citizen_before	sample-129	88.54976574141894	0.2712746949818775	3.1069296272889466	88.33333333333333	0.1016615450780682	2	9.836561103139609	6.44924785517726	11.87802403558032	0.9941343476470176	0.9998979018837102	0.2486164380649667	0.0009687086387573	8.803241366016708	0.6860577114840476	0.6287478876894373	88	0.6966775660881992	0.0001020981162897	4.50014109838539	0.8983384549219318	2	0.5887870743784778	19589.0	ERR1700291	OMG133	AMPLICON	252	6528026	PRJEB16344	SAMEA4518864	3065125	KNOMICS LLC	2016	public	contigs,fastq,sra	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	ERC000015	2016-12-31	2018-11-16	human microbiome	intestine environment	feces	ERX1770579	Russia	Europe	Russia	55	37	human-gut	Knomics LLC	2016-12-31T17:01:12Z	2016-10-21T09:38:30Z	public	Illumina MiSeq	metagenome	unspecified	SINGLE	PCR	METAGENOMIC	human gut metagenome	ILLUMINA	OMGpilot	2017-01-01T00:00:00Z	SAMEA4518864	ERS1418043	16S sequencing	ERS1418043	ERP018192	Healthy human gut 16S metagenome	subject3353		ERR1700291	6967.5176	before
248_citizen	248_citizen_after	sample-287	88.0	0.2698251242126677	3.0380176827002523	88.0	0.1009763626340639	6	9.903307803074446	5.819397109786827	11.406183391456604	0.9947921161558698	1.0	0.2306339408551245	0.001429381883605	8.572422608138496	0.6865262803780678	0.5504194245987571	88	0.6806769912574779	0.0	4.396786479407457	0.899023637365936	0	0.632432754444804	25561.0	ERR1700449	OMG294	AMPLICON	252	8147871	PRJEB16344	SAMEA4519025	3780965	KNOMICS LLC	2016	public	contigs,fastq,sra	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	ERC000015	2016-12-31	2018-11-16	human microbiome	intestine environment	feces	ERX1770737	Russia	Europe	Russia	55	37	human-gut	Knomics LLC	2016-12-31T17:01:12Z	2016-10-21T09:38:33Z	public	Illumina MiSeq	metagenome	unspecified	SINGLE	PCR	METAGENOMIC	human gut metagenome	ILLUMINA	OMGpilot	2017-01-01T00:00:00Z	SAMEA4519025	ERS1418204	16S sequencing	ERS1418204	ERP018192	Healthy human gut 16S metagenome	subject1765		ERR1700449	2203.8952	after
248_citizen	248_citizen_before	sample-197	218.56929721272556	0.3196654514261205	3.2427075526745903	215.44444444444449	0.1191659694873458	26	8.391657486629931	5.182606485785378	32.00722038466958	0.991987820042718	0.9993137465151192	0.1196102473962505	0.0016118282194612	20.88128528000107	0.6591123562263127	1.3818622263178506	211	0.6096257539644425	0.0006862534848809	4.706980914349864	0.8808340305126541	16	0.7200333776132162	23315.0	ERR1700359	OMG201	AMPLICON	286	9678003	PRJEB16344	SAMEA4518932	4974261	KNOMICS LLC	2016	public	contigs,fastq,sra	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	ERC000015	2016-12-31	2018-11-16	human microbiome	intestine environment	feces	ERX1770647	Russia	Europe	Russia	55	37	human-gut	Knomics LLC	2016-12-31T17:01:12Z	2016-10-21T09:38:31Z	public	Illumina MiSeq	metagenome	unspecified	SINGLE	PCR	METAGENOMIC	human gut metagenome	ILLUMINA	OMGpilot	2017-01-01T00:00:00Z	SAMEA4518932	ERS1418111	16S sequencing	ERS1418111	ERP018192	Healthy human gut 16S metagenome	subject3443		ERR1700359	6250.6991	before
248_citizen	248_citizen_after	sample-489	63.0	0.3059660645867542	2.585679915888668	63.0	0.1303506500587639	11	7.671614982734535	5.060575784527444	7.408508015876205	0.9967777950051032	1.0	0.1989291199430737	0.0005010934142713	5.901298219304421	0.6423191471401359	0.3295765308015309	63	0.6251999377362507	0.0	3.736995036004289	0.869649349941236	0	0.6960864805692393	36540.0	ERR1700651	OMG496	AMPLICON	252	11249440	PRJEB16344	SAMEA4519227	5227283	KNOMICS LLC	2016	public	contigs,fastq,sra	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	ERC000015	2016-12-31	2018-11-16	human microbiome	intestine environment	feces	ERX1770939	Russia	Europe	Russia	55	37	human-gut	Knomics LLC	2016-12-31T17:01:12Z	2016-10-21T09:38:32Z	public	Illumina MiSeq	metagenome	unspecified	SINGLE	PCR	METAGENOMIC	human gut metagenome	ILLUMINA	OMGpilot	2017-01-01T00:00:00Z	SAMEA4519227	ERS1418406	16S sequencing	ERS1418406	ERP018192	Healthy human gut 16S metagenome	subject3493		ERR1700651	7034.1173	after
248_citizen	248_citizen_before	sample-1	102.9675244584762	0.1574259630371854	3.103064803423571	102.0	0.0795377774029466	9	12.57264199040786	7.001453079970206	14.128394172133772	0.9945957010038236	0.9997216655533288	0.215839934710057	0.0010129320292783	10.208117970197858	0.7233726744180421	0.7535634930770061	101	0.6754409533787137	0.0002783344466711	4.497228711706971	0.9204622225970532	5	0.6724912972259149	17964.0	ERR1699775	OMG1	OTHER	252	6035601	PRJEB16344	SAMEA4518732	2859214	KNOMICS LLC	2016	public	contigs,fastq,sra	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	ERC000015	2016-12-31	2018-11-16	human microbiome	intestine environment	feces	ERX1770063	Russia	Europe	Russia	55	37	human-gut	Knomics LLC	2016-12-31T17:01:12Z	2016-10-21T09:38:31Z	public	Illumina MiSeq	metagenome	unspecified	SINGLE	unspecified	METAGENOMIC	human gut metagenome	ILLUMINA	OMGpilot	2017-01-01T00:00:00Z	SAMEA4518732	ERS1417911	16S sequencing	ERS1417911	ERP018192	Healthy human gut 16S metagenome	subject168		ERR1699775	2281.4816	before
248_citizen	248_citizen_before	sample-97	92.63821648437032	0.2013500421888184	3.0671180205446897	92.14285714285714	0.0813444482063874	6	12.293401972102584	6.014828522624837	11.61376934105072	0.9949879887363268	0.999937498046814	0.2269204107079033	0.0008110869856524	8.772386513537366	0.7188088451179712	0.5143036708825914	92	0.6800393683307028	6.250195318603706e-05	4.436278951863216	0.9186555517936126	2	0.6588235773672275	31999.0	ERR1700259	OMG100	AMPLICON	252	10420469	PRJEB16344	SAMEA4518831	4909563	KNOMICS LLC	2016	public	contigs,fastq,sra	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	ERC000015	2016-12-31	2018-11-16	human microbiome	intestine environment	feces	ERX1770547	Russia	Europe	Russia	55	37	human-gut	Knomics LLC	2016-12-31T17:01:12Z	2016-10-21T09:38:33Z	public	Illumina MiSeq	metagenome	unspecified	SINGLE	PCR	METAGENOMIC	human gut metagenome	ILLUMINA	OMGpilot	2017-01-01T00:00:00Z	SAMEA4518831	ERS1418010	16S sequencing	ERS1418010	ERP018192	Healthy human gut 16S metagenome	subject3302		ERR1700259	9167.3843	before
248_citizen	248_citizen_before	sample-87	219.8244064474724	0.0664140851348339	4.102286749699163	215.96875	0.0264148679226802	31	37.85746735236877	6.948422776972159	44.29707751956364	0.9849857684454888	0.9939826164475152	0.3180044110006332	0.0058484510305924	24.259895962984828	0.8501653481653695	3.060383320176426	205	0.7867216371642265	0.0060173835524849	6.041613156453022	0.9735851320773198	27	0.6057836459799855	4487.0	ERR1700249	OMG90	AMPLICON	275	1829296	PRJEB16344	SAMEA4518821	967944	KNOMICS LLC	2016	public	contigs,fastq,sra	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	ERC000015	2016-12-31	2018-11-16	human microbiome	intestine environment	feces	ERX1770537	Russia	Europe	Russia	55	37	human-gut	Knomics LLC	2016-12-31T17:01:12Z	2016-10-21T09:38:33Z	public	Illumina MiSeq	metagenome	unspecified	SINGLE	PCR	METAGENOMIC	human gut metagenome	ILLUMINA	OMGpilot	2017-01-01T00:00:00Z	SAMEA4518821	ERS1418000	16S sequencing	ERS1418000	ERP018192	Healthy human gut 16S metagenome	subject3289		ERR1700249	6724.9182	before
248_citizen	248_citizen_before	sample-152	147.74111030006443	0.3860835587616471	2.5456375574630994	143.8	0.1852313579751031	24	5.398653937063991	5.1171961685181735	21.640352046741352	0.9958172322000426	0.9987977156597536	0.0871142291430238	0.001584616033794	14.532250091715971	0.5745957517621662	1.2049205300014088	139	0.5201409749463158	0.0012022843402464	3.702852950151777	0.8147686420248968	16	0.7664865402538203	13308.0	ERR1700314	OMG156	AMPLICON	287	5311747	PRJEB16344	SAMEA4518887	2788681	KNOMICS LLC	2016	public	contigs,fastq,sra	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	ERC000015	2016-12-31	2018-11-16	human microbiome	intestine environment	feces	ERX1770602	Russia	Europe	Russia	55	37	human-gut	Knomics LLC	2016-12-31T17:01:12Z	2016-10-21T09:38:30Z	public	Illumina MiSeq	metagenome	unspecified	SINGLE	PCR	METAGENOMIC	human gut metagenome	ILLUMINA	OMGpilot	2017-01-01T00:00:00Z	SAMEA4518887	ERS1418066	16S sequencing	ERS1418066	ERP018192	Healthy human gut 16S metagenome	subject3380		ERR1700314	1575.0189	before
248_citizen	248_citizen_after	sample-407	59.87898534441865	0.1647589316684009	2.8977740860992327	59.16666666666666	0.0840591685596834	5	11.89638224044511	4.57854042359646	7.636732001457113	0.9958829978716544	0.9998843796970748	0.2983746802300975	0.0009050716412972	5.943630099630357	0.7155106487837596	0.4485946246237237	59	0.7129828346099751	0.0001156203029251	4.1942235163326735	0.9159408314403166	2	0.6108808503383363	17298.0	ERR1700569	OMG414	AMPLICON	252	5335244	PRJEB16344	SAMEA4519145	2516693	KNOMICS LLC	2016	public	contigs,fastq,sra	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	ERC000015	2016-12-31	2018-11-16	human microbiome	intestine environment	feces	ERX1770857	Russia	Europe	Russia	55	37	human-gut	Knomics LLC	2016-12-31T17:01:12Z	2016-10-21T09:38:31Z	public	Illumina MiSeq	metagenome	unspecified	SINGLE	PCR	METAGENOMIC	human gut metagenome	ILLUMINA	OMGpilot	2017-01-01T00:00:00Z	SAMEA4519145	ERS1418324	16S sequencing	ERS1418324	ERP018192	Healthy human gut 16S metagenome	subject3379		ERR1700569	3395.4926	after
248_citizen	248_citizen_before	sample-160	234.452441573523	0.126595744680851	4.076616338435908	229.93548387096772	0.0350273030783159	30	28.549157717456712	6.915145030686276	39.82415680073928	0.9853319058864072	0.9984042553191488	0.2702785436444366	0.0039250493246359	24.006550723091426	0.8205702906029363	2.1184975607476204	225	0.7606443679208595	0.001595744680851	5.943508655265185	0.964972696921684	18	0.6076122931442081	11280.0	ERR1700322	OMG164	AMPLICON	278	4601793	PRJEB16344	SAMEA4518895	2428899	KNOMICS LLC	2016	public	contigs,fastq,sra	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	ERC000015	2016-12-31	2018-11-16	human microbiome	intestine environment	feces	ERX1770610	Russia	Europe	Russia	55	37	human-gut	Knomics LLC	2016-12-31T17:01:12Z	2016-10-21T09:38:30Z	public	Illumina MiSeq	metagenome	unspecified	SINGLE	PCR	METAGENOMIC	human gut metagenome	ILLUMINA	OMGpilot	2017-01-01T00:00:00Z	SAMEA4518895	ERS1418074	16S sequencing	ERS1418074	ERP018192	Healthy human gut 16S metagenome	subject3388		ERR1700322	1450.7102	before
