folder	dataset	sample-id	ace	berger_parker_d	brillouin_d	chao1	dominance	doubles	enspie	faith_pd	fisher_alpha	gini_index	goods_coverage	heip_e	lladser_pe	margalef	mcintosh_d	menhinick	observed_features	pielou_evenness	robbins	shannon_entropy	simpson	singles	strong	sample-frequency	Run	Assay Type	AvgSpotLen	Bases	BioProject	BioSample	Bytes	Center Name	Consent	DATASTORE filetype	DATASTORE provider	DATASTORE region	Experiment	Instrument	LibraryLayout	LibrarySelection	LibrarySource	Organism	Platform	ReleaseDate	Sample Name	SRA Study	Sample_Name	sample_comment	city	country
346_asian	346_asian_Thailand	sample-129	245.93966136015368	0.1401782969566554	3.772872555008408	239.68421052631575	0.0506990685795107	56	19.724228235706377	15.71452388368541	48.00045047544239	0.9877297821375426	0.9967722102674454	0.1936401734058425	0.0061327620868859	26.763912352783706	0.7845622723786974	2.92586964641739	236	0.7027246533470265	0.0032277897325545	5.539327604321149	0.9493009314204892	21	0.6707641447008498	6506.0	DRR017348	AMPLICON	401	3813266	PRJDB1664	SAMD00009510	2344503	KYUSHU	public	sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	DRX015642	454 GS FLX Titanium	SINGLE	PCR	METAGENOMIC	human gut metagenome	LS454	2015-03-06T00:00:00Z	SAMD00009510	DRP001945	DRS015132	16S rRNA amplicon sequencing of stool sample from healthy Bangkok Children	Bangkok	Thailand
346_asian	346_asian_Japan	sample-287	152.80635689815293	0.1651090342679127	3.460331866702663	149.28571428571428	0.0638196607822776	34	15.66915254237288	14.245386759551602	30.54710139400584	0.991162177477407	0.9974039460020768	0.2258421272587235	0.008423691686504	17.80448256821021	0.7596135678607825	2.384616672979304	148	0.7068321594073294	0.0025960539979231	5.095873490573949	0.9361803392177224	10	0.6374154528360136	3852.0	DRR017506	AMPLICON	402	2249191	PRJDB1664	SAMD00003464	1349834	KYUSHU	public	sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	DRX015800	454 GS FLX Titanium	SINGLE	PCR	METAGENOMIC	human gut metagenome	LS454	2015-03-06T00:00:00Z	SAMD00003464	DRP001950	DRS015290	16S rRNA amplicon sequencing of stool sample from healthy Fukuoka Children	Fukuoka	Japan
346_asian	346_asian_China	sample-197	248.43725353826784	0.1609940572663425	4.087606250353604	242.85	0.0423642687629826	59	23.604797844965677	16.78963493163017	57.38589535781001	0.982278491612288	0.9948676391139925	0.2754698704228612	0.0098901027374634	29.0873562312973	0.807444904848549	3.944509755637279	240	0.7667466060469508	0.0051323608860075	6.062581528567385	0.9576357312370172	19	0.5801526202052945	3702.0	DRR017416	AMPLICON	402	2357640	PRJDB1664	SAMD00008747	1447474	KYUSHU	public	sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	DRX015710	454 GS FLX Titanium	SINGLE	PCR	METAGENOMIC	human gut metagenome	LS454	2015-03-06T00:00:00Z	SAMD00008747	DRP001948	DRS015200	16S rRNA amplicon sequencing of stool sample from healthy Lanzhou Children	Lanzhou	China
346_asian	346_asian_Indonesia	sample-1	277.7762119213014	0.2014270032930845	3.959755626137534	270.493670886076	0.0575351449113831	78	17.380681000112567	19.442922121409094	66.3538568356663	0.9815829569235444	0.9934138309549944	0.2193963821410721	0.0137026595547967	32.43571255217797	0.7729394663217494	4.423052325833166	267	0.7308805057593883	0.0065861690450054	5.891405519324444	0.9424648550886168	24	0.6006549168095314	3644.0	DRR017220	AMPLICON	400	2349444	PRJDB1664	SAMD00016523	1482187	KYUSHU	public	sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	DRX015514	454 GS FLX Titanium	SINGLE	PCR	METAGENOMIC	human gut metagenome	LS454	2015-03-06T00:00:00Z	SAMD00016523	DRP001941	DRS015004	16S rRNA amplicon sequencing of stool sample from healthy Bali Children	Bali	Indonesia
346_asian	346_asian_Taiwan	sample-66	209.81420170609823	0.1135907163579558	4.065414714464083	203.52631578947367	0.0330754051386396	37	30.23394561029192	16.73962478423783	42.39931409453745	0.9853844565646912	0.9953135460834636	0.3168456715222665	0.0092271757689253	23.43117709058205	0.8305407424193736	2.9578607081397483	198	0.784710213571158	0.0046864539165364	5.986834062753199	0.9669245948613604	21	0.5724664633390364	4481.0	DRR017285	AMPLICON	403	2667367	PRJDB1664	SAMD00012369	1607672	KYUSHU	public	sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	DRX015579	454 GS FLX Titanium	SINGLE	PCR	METAGENOMIC	human gut metagenome	LS454	2015-03-06T00:00:00Z	SAMD00012369	DRP001943	DRS015069	16S rRNA amplicon sequencing of stool sample from healthy Taipei Children	Taipei	Taiwan
346_asian	346_asian_Thailand	sample-152	329.0251205259313	0.0860291503732669	4.367410020155692	319.2837837837838	0.0257741436874073	73	38.7985731797009	19.69777287755069	71.4902382470958	0.9785259626271322	0.994489868467828	0.276100869167806	0.0087814944353628	36.13137650997836	0.8507997112483945	4.172962419824772	313	0.7774796167622483	0.005510131532172	6.445320676064988	0.9742258563125926	31	0.5923541885063528	5626.0	DRR017371	AMPLICON	399	3642005	PRJDB1664	SAMD00013014	2221604	KYUSHU	public	sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	DRX015665	454 GS FLX Titanium	SINGLE	PCR	METAGENOMIC	human gut metagenome	LS454	2015-03-06T00:00:00Z	SAMD00013014	DRP001946	DRS015155	16S rRNA amplicon sequencing of stool sample from healthy Khon Kaen Children	Khon Kaen	Thailand
346_asian	346_asian_Indonesia	sample-9	298.40657320661194	0.2339728591483388	3.7136239513272935	290.17808219178085	0.0767978167691181	72	13.021203493406064	16.20991344146459	61.12896009057872	0.985258167561916	0.995632506629231	0.1526913299550632	0.0112281111283724	32.398749040357366	0.7320181837876819	3.559442417413512	285	0.6709320125977128	0.0043674933707689	5.471328526274604	0.923202183230882	28	0.6656848016156441	6411.0	DRR017228	AMPLICON	401	4145301	PRJDB1664	SAMD00016537	2561327	KYUSHU	public	sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	DRX015522	454 GS FLX Titanium	SINGLE	PCR	METAGENOMIC	human gut metagenome	LS454	2015-03-06T00:00:00Z	SAMD00016537	DRP001941	DRS015012	16S rRNA amplicon sequencing of stool sample from healthy Bali Children	Bali	Indonesia
346_asian	346_asian_Thailand	sample-160	190.8860488798371	0.055452865064695	4.167468820176131	187.32	0.0235281757271568	49	42.502232710110725	15.017710433246055	48.75169152516468	0.9832245944768432	0.9944547134935304	0.3993158691535407	0.0199521961468589	24.08943987666838	0.8652101767265171	3.998382297648834	186	0.8258722503754005	0.0055452865064695	6.22638205326732	0.9764718242728432	12	0.537256772603502	2164.0	DRR017379	AMPLICON	396	1492043	PRJDB1664	SAMD00013022	954154	KYUSHU	public	sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	DRX015673	454 GS FLX Titanium	SINGLE	PCR	METAGENOMIC	human gut metagenome	LS454	2015-03-06T00:00:00Z	SAMD00013022	DRP001946	DRS015163	16S rRNA amplicon sequencing of stool sample from healthy Khon Kaen Children	Khon Kaen	Thailand
346_asian	346_asian_Philippines	sample-342	184.8748438041703	0.0487245629120091	4.396220826510673	184.1071428571429	0.0181094889305708	27	55.21966985561286	20.62399200656311	41.38274578829958	0.9808678692244802	0.999140154772141	0.4876359306290422	0.0063339520818516	22.43369984474755	0.8803322687071264	3.1150666142900705	184	0.8633747203966506	0.0008598452278589	6.495653200197602	0.9818905110694292	3	0.4648725185988261	3489.0	DRR076805	AMPLICON	520	10700303	PRJDB1664	SAMD00066845	24156802	KYUSHU	public	sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	DRX070649	454 GS FLX Titanium	SINGLE	PCR	METAGENOMIC	human gut metagenome	LS454	2017-03-22T00:00:00Z	SAMD00066845	DRP001941	PH.C.45	human gut	Ormoc	Philippines
346_asian	346_asian_China	sample-173	174.78436519835594	0.1142857142857142	3.91504783427968	171.1304347826087	0.0361045676529732	22	27.6973265436028	14.771031637417847	33.61597072703142	0.9878818153465084	0.994915254237288	0.3300122837125453	0.0075208729950585	19.336940662217888	0.8227910626171103	2.5208092785623823	162	0.7845404455941983	0.0050847457627118	5.75840919185768	0.9638954323470268	21	0.5689444892834724	4130.0	DRR017392	AMPLICON	403	2403494	PRJDB1664	SAMD00016641	1393166	KYUSHU	public	sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	DRX015686	454 GS FLX Titanium	SINGLE	PCR	METAGENOMIC	human gut metagenome	LS454	2015-03-06T00:00:00Z	SAMD00016641	DRP001947	DRS015176	16S rRNA amplicon sequencing of stool sample from healthy Beijing Children	Beijing	China
