sample-id	Run	Assay Type	AvgSpotLen	Bases	BioProject	BioSample	Bytes	Center Name	Consent	DATASTORE filetype	DATASTORE provider	DATASTORE region	Experiment	Instrument	LibraryLayout	LibrarySelection	LibrarySource	Organism	Platform	ReleaseDate	Sample Name	SRA Study	Sample_Name	sample_comment	city	country
sample-1	DRR017220	AMPLICON	400	2349444	PRJDB1664	SAMD00016523	1482187	KYUSHU	public	sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	DRX015514	454 GS FLX Titanium	SINGLE	PCR	METAGENOMIC	human gut metagenome	LS454	2015-03-06T00:00:00Z	SAMD00016523	DRP001941	DRS015004	16S rRNA amplicon sequencing of stool sample from healthy Bali Children	Bali	Indonesia
sample-2	DRR017221	AMPLICON	397	1410121	PRJDB1664	SAMD00016530	907012	KYUSHU	public	sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	DRX015515	454 GS FLX Titanium	SINGLE	PCR	METAGENOMIC	human gut metagenome	LS454	2015-03-06T00:00:00Z	SAMD00016530	DRP001941	DRS015005	16S rRNA amplicon sequencing of stool sample from healthy Bali Children	Bali	Indonesia
sample-3	DRR017222	AMPLICON	400	3432793	PRJDB1664	SAMD00016540	2098103	KYUSHU	public	sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	DRX015516	454 GS FLX Titanium	SINGLE	PCR	METAGENOMIC	human gut metagenome	LS454	2015-03-06T00:00:00Z	SAMD00016540	DRP001941	DRS015006	16S rRNA amplicon sequencing of stool sample from healthy Bali Children	Bali	Indonesia
sample-4	DRR017223	AMPLICON	400	2979475	PRJDB1664	SAMD00016531	1858850	KYUSHU	public	sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	DRX015517	454 GS FLX Titanium	SINGLE	PCR	METAGENOMIC	human gut metagenome	LS454	2015-03-06T00:00:00Z	SAMD00016531	DRP001941	DRS015007	16S rRNA amplicon sequencing of stool sample from healthy Bali Children	Bali	Indonesia
sample-5	DRR017224	AMPLICON	397	1541747	PRJDB1664	SAMD00016528	997034	KYUSHU	public	sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	DRX015518	454 GS FLX Titanium	SINGLE	PCR	METAGENOMIC	human gut metagenome	LS454	2015-03-06T00:00:00Z	SAMD00016528	DRP001941	DRS015008	16S rRNA amplicon sequencing of stool sample from healthy Bali Children	Bali	Indonesia
sample-6	DRR017225	AMPLICON	401	3459732	PRJDB1664	SAMD00016524	2155822	KYUSHU	public	sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	DRX015519	454 GS FLX Titanium	SINGLE	PCR	METAGENOMIC	human gut metagenome	LS454	2015-03-06T00:00:00Z	SAMD00016524	DRP001941	DRS015009	16S rRNA amplicon sequencing of stool sample from healthy Bali Children	Bali	Indonesia
sample-7	DRR017226	AMPLICON	399	1574454	PRJDB1664	SAMD00016520	967372	KYUSHU	public	sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	DRX015520	454 GS FLX Titanium	SINGLE	PCR	METAGENOMIC	human gut metagenome	LS454	2015-03-06T00:00:00Z	SAMD00016520	DRP001941	DRS015010	16S rRNA amplicon sequencing of stool sample from healthy Bali Children	Bali	Indonesia
sample-8	DRR017227	AMPLICON	397	2100153	PRJDB1664	SAMD00016526	1341964	KYUSHU	public	sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	DRX015521	454 GS FLX Titanium	SINGLE	PCR	METAGENOMIC	human gut metagenome	LS454	2015-03-06T00:00:00Z	SAMD00016526	DRP001941	DRS015011	16S rRNA amplicon sequencing of stool sample from healthy Bali Children	Bali	Indonesia
sample-9	DRR017228	AMPLICON	401	4145301	PRJDB1664	SAMD00016537	2561327	KYUSHU	public	sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	DRX015522	454 GS FLX Titanium	SINGLE	PCR	METAGENOMIC	human gut metagenome	LS454	2015-03-06T00:00:00Z	SAMD00016537	DRP001941	DRS015012	16S rRNA amplicon sequencing of stool sample from healthy Bali Children	Bali	Indonesia
sample-10	DRR017229	AMPLICON	400	3135759	PRJDB1664	SAMD00016538	1915672	KYUSHU	public	sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	DRX015523	454 GS FLX Titanium	SINGLE	PCR	METAGENOMIC	human gut metagenome	LS454	2015-03-06T00:00:00Z	DRS015013	DRP001941			Bali	Indonesia
