# Constructed from biom file
#OTU ID	sample-1	sample-10	sample-11	sample-12	sample-13	sample-14	sample-15	sample-16	sample-17	sample-18	sample-19	sample-2	sample-20	sample-21	sample-22	sample-23	sample-24	sample-25	sample-26	sample-27	sample-28	sample-29	sample-3	sample-30	sample-31	sample-32	sample-33	sample-34	sample-35	sample-36	sample-37	sample-38	sample-39	sample-4	sample-40	sample-41	sample-42	sample-43	sample-44	sample-45	sample-46	sample-47	sample-48	sample-49	sample-5	sample-50	sample-51	sample-52	sample-53	sample-54	sample-55	sample-56	sample-57	sample-58	sample-59	sample-6	sample-60	sample-61	sample-62	sample-63	sample-64	sample-65	sample-66	sample-67	sample-68	sample-7	sample-8	sample-9
548a2e48f4d1a3767dc9044f3ec21ac8	14975.0	3493.0	0.0	11924.0	13757.0	7.0	0.0	373.0	158.0	14661.0	0.0	7042.0	0.0	0.0	134.0	1064.0	0.0	3383.0	206.0	0.0	0.0	5360.0	189.0	3862.0	6320.0	10488.0	351.0	343.0	2081.0	4697.0	4346.0	2315.0	0.0	5068.0	4848.0	3584.0	1868.0	4244.0	0.0	1894.0	0.0	5987.0	0.0	785.0	0.0	728.0	593.0	8018.0	8737.0	11939.0	0.0	23.0	2523.0	424.0	1853.0	10677.0	3485.0	8327.0	0.0	5844.0	10593.0	0.0	3133.0	869.0	17144.0	3237.0	0.0	3439.0
eec3917b9d71ba81957aeca2d3075f6f	4640.0	1579.0	2291.0	112.0	921.0	2016.0	3184.0	1639.0	3052.0	6323.0	2367.0	1697.0	3968.0	1517.0	251.0	4060.0	5910.0	2667.0	606.0	1638.0	7646.0	2100.0	172.0	1059.0	7763.0	3264.0	1958.0	1670.0	4374.0	1985.0	4920.0	7690.0	3690.0	859.0	1709.0	306.0	186.0	2436.0	215.0	1898.0	3917.0	629.0	3637.0	2281.0	317.0	1149.0	2615.0	2901.0	1293.0	8513.0	9295.0	46.0	1886.0	2693.0	394.0	1050.0	2482.0	1108.0	9810.0	4626.0	1099.0	3129.0	1313.0	325.0	2126.0	1656.0	2122.0	6560.0
946ff4179e1271b1b543b75af4479d2b	1050.0	2928.0	7350.0	0.0	456.0	0.0	3631.0	2991.0	3308.0	8853.0	3561.0	75.0	0.0	4276.0	466.0	2537.0	3010.0	4423.0	483.0	528.0	10037.0	908.0	101.0	732.0	1754.0	11981.0	100.0	755.0	3580.0	1354.0	8039.0	0.0	1254.0	2789.0	6139.0	202.0	360.0	4090.0	2333.0	4222.0	11770.0	613.0	834.0	1745.0	1692.0	982.0	1967.0	641.0	329.0	9189.0	0.0	45.0	3612.0	1178.0	851.0	3084.0	1775.0	503.0	4811.0	521.0	776.0	1683.0	141.0	804.0	6937.0	1697.0	816.0	0.0
667154d3d327daa012c6db82b554d1fe	3173.0	841.0	3332.0	7121.0	3871.0	0.0	2757.0	5265.0	2419.0	11.0	355.0	3206.0	0.0	1087.0	230.0	2443.0	620.0	0.0	447.0	3470.0	2196.0	2147.0	219.0	2068.0	0.0	2347.0	236.0	5.0	7054.0	4589.0	3195.0	4.0	3141.0	2040.0	1535.0	290.0	2162.0	1317.0	351.0	4253.0	2600.0	2765.0	2303.0	878.0	2468.0	5059.0	0.0	0.0	4978.0	7956.0	8.0	25.0	2074.0	892.0	427.0	2789.0	2991.0	4751.0	5024.0	5865.0	1535.0	0.0	2610.0	1909.0	6722.0	3802.0	1225.0	10.0
da1757b48681eedfa1834e81237cc90f	3128.0	554.0	4768.0	90.0	188.0	206.0	3591.0	2379.0	890.0	9774.0	1709.0	1012.0	410.0	3479.0	91.0	1442.0	1791.0	2225.0	186.0	3219.0	3933.0	528.0	206.0	1267.0	4560.0	3957.0	628.0	374.0	503.0	748.0	1931.0	310.0	2278.0	992.0	1258.0	57.0	312.0	818.0	3121.0	3536.0	3264.0	4536.0	8065.0	1940.0	1618.0	669.0	8410.0	1679.0	1585.0	4792.0	2667.0	28.0	1358.0	1825.0	2196.0	1757.0	7720.0	1610.0	4824.0	2595.0	1190.0	6434.0	307.0	486.0	2029.0	280.0	1902.0	426.0
06061bc3421f4a8a199e6e3051e0b040	368.0	16.0	14839.0	1006.0	0.0	0.0	0.0	0.0	60.0	0.0	459.0	280.0	0.0	0.0	0.0	2784.0	32.0	0.0	0.0	9360.0	0.0	0.0	385.0	7633.0	0.0	1056.0	0.0	0.0	0.0	979.0	11284.0	8418.0	8448.0	715.0	0.0	0.0	287.0	296.0	0.0	0.0	0.0	0.0	5046.0	54.0	0.0	452.0	383.0	0.0	0.0	1169.0	0.0	0.0	0.0	2687.0	220.0	485.0	0.0	962.0	8909.0	8546.0	618.0	0.0	0.0	12026.0	101.0	57.0	5392.0	10780.0
583b16afe06379be73639597f9a92786	609.0	870.0	1388.0	1626.0	1906.0	1732.0	1411.0	663.0	1806.0	5840.0	734.0	570.0	1766.0	1306.0	195.0	2100.0	540.0	2537.0	386.0	2233.0	4734.0	603.0	127.0	844.0	1181.0	3192.0	69.0	248.0	1992.0	1486.0	5743.0	1539.0	1847.0	402.0	2668.0	252.0	89.0	713.0	192.0	1107.0	1580.0	913.0	4844.0	1469.0	263.0	788.0	1596.0	488.0	1007.0	9672.0	684.0	51.0	980.0	2331.0	398.0	468.0	3223.0	1168.0	1023.0	2008.0	1635.0	3089.0	199.0	787.0	1573.0	826.0	1446.0	207.0
c04cb9a75fa489861bc5ffc279c0e832	422.0	273.0	1139.0	199.0	2692.0	2254.0	2196.0	2112.0	478.0	2483.0	247.0	1657.0	774.0	396.0	226.0	2848.0	118.0	1797.0	1698.0	1755.0	1101.0	727.0	148.0	889.0	7150.0	4224.0	848.0	2174.0	897.0	360.0	2578.0	7.0	3628.0	2061.0	1206.0	1720.0	147.0	803.0	329.0	115.0	868.0	407.0	3977.0	357.0	1563.0	154.0	2659.0	4663.0	764.0	1791.0	2877.0	31.0	275.0	542.0	424.0	368.0	990.0	669.0	2422.0	3878.0	779.0	2714.0	3785.0	867.0	3066.0	857.0	1753.0	28.0
562ee7aa58884db39a9f0c9e6ce1796b	543.0	1408.0	3317.0	0.0	569.0	444.0	1030.0	1543.0	3406.0	0.0	900.0	401.0	355.0	783.0	785.0	1259.0	235.0	0.0	890.0	4275.0	1441.0	895.0	245.0	591.0	312.0	861.0	910.0	650.0	1788.0	942.0	1022.0	0.0	1339.0	4226.0	800.0	547.0	539.0	1477.0	189.0	2049.0	525.0	1552.0	5388.0	2821.0	141.0	461.0	3508.0	561.0	4433.0	4503.0	0.0	0.0	749.0	442.0	922.0	295.0	6885.0	1350.0	227.0	5196.0	1377.0	2799.0	559.0	1872.0	3464.0	777.0	789.0	0.0
e6c37bd08734226254ecc1fbf42af9b0	2099.0	0.0	1154.0	2846.0	1295.0	0.0	1984.0	1774.0	35.0	5337.0	272.0	985.0	0.0	622.0	70.0	1635.0	245.0	2830.0	588.0	3897.0	0.0	444.0	87.0	1489.0	8289.0	677.0	0.0	0.0	130.0	2813.0	2011.0	1297.0	3158.0	1354.0	1147.0	448.0	113.0	112.0	618.0	1480.0	0.0	1904.0	427.0	371.0	3118.0	622.0	563.0	0.0	1485.0	1762.0	0.0	0.0	165.0	321.0	233.0	2243.0	1059.0	984.0	5778.0	6043.0	1346.0	0.0	172.0	4988.0	867.0	100.0	1462.0	3664.0
