Run,Assay Type,BioSample,Center Name,Collection_Date,common_name,Consent,ENA-FIRST-PUBLIC (run),ENA_first_public,ENA-LAST-UPDATE (run),ENA_last_update,environment_(biome),environment_(feature),environment_(material),Experiment,External_Id,geo_loc_name_country,geo_loc_name_country_continent,geographic_location_(country_and/or_sea),geographic_location_(latitude),geographic_location_(longitude),human_gut_environmental_package,INSDC_center_alias,INSDC_center_name,INSDC_first_public,INSDC_last_update,INSDC_status,Instrument,Investigation_type,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,project_name,ReleaseDate,Sample Name,Sample_Name,Sequencing_method,SRA_accession,SRA Study,Submitter_Id,Title,AvgSpotLen,Bases,Bytes,DATASTORE filetype,DATASTORE provider,DATASTORE region,study_accession,sample_accession,experiment_accession,tax_id,scientific_name,fastq_ftp,submitted_ftp,sra_ftp,submitted_sra
ERR4281016,AMPLICON,SAMEA7000546,GOTHENBURG UNIVERISITY,2008,human,public,2021-03-23,2021-03-23,2020-06-23,2020-06-21,ENVO:00002003,ENVO:00002003,ENVO:00002003,ERX4233676,SAMEA7000546,Sweden,Europe,Sweden,56.67446,12.85676,human-gut,GOTHENBURG UNIVERISITY,GOTHENBURG UNIVERISITY,2021-03-23T08:56:55Z,2020-06-21T16:23:11Z,public,Illumina MiSeq,metagenome,V4_PCR,PAIRED,PCR,METAGENOMIC,Homo sapiens,ILLUMINA,Halmstad_childrenGut,2021-03-24T00:00:00Z,SAMEA7000546,1001-12M,12M,ERS4768626,ERP122450,1001-12M,16SrRNAprofile,501,47341632,33266238,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",PRJEB38986,SAMEA7000546,ERX4233676,9606,Homo sapiens,ftp.sra.ebi.ac.uk/vol1/fastq/ERR428/006/ERR4281016/ERR4281016_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR428/006/ERR4281016/ERR4281016_2.fastq.gz,ftp.sra.ebi.ac.uk/vol1/run/ERR428/ERR4281016/1001-12M_S42_L001_R1_001.fastq.gz,ftp.sra.ebi.ac.uk/vol1/run/ERR428/ERR4281016/1001-12M_S42_L001_R2_001.fastq.gz
ERR4281017,AMPLICON,SAMEA7000547,GOTHENBURG UNIVERISITY,2008,human,public,2021-03-23,2021-03-23,2020-06-23,2020-06-21,ENVO:00002003,ENVO:00002003,ENVO:00002003,ERX4233677,SAMEA7000547,Sweden,Europe,Sweden,56.67446,12.85676,human-gut,GOTHENBURG UNIVERISITY,GOTHENBURG UNIVERISITY,2021-03-23T08:56:55Z,2020-06-21T16:23:11Z,public,Illumina MiSeq,metagenome,V4_PCR,PAIRED,PCR,METAGENOMIC,Homo sapiens,ILLUMINA,Halmstad_childrenGut,2021-03-24T00:00:00Z,SAMEA7000547,1001-3Y,3Y,ERS4768627,ERP122450,1001-3Y,16SrRNAprofile,501,59171138,41724971,"fastq,sra","gs,ncbi","gs.US,ncbi.public",PRJEB38986,SAMEA7000547,ERX4233677,9606,Homo sapiens,ftp.sra.ebi.ac.uk/vol1/fastq/ERR428/007/ERR4281017/ERR4281017_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR428/007/ERR4281017/ERR4281017_2.fastq.gz,ftp.sra.ebi.ac.uk/vol1/run/ERR428/ERR4281017/1001-3Y_S42_L001_R1_001.fastq.gz,ftp.sra.ebi.ac.uk/vol1/run/ERR428/ERR4281017/1001-3Y_S42_L001_R2_001.fastq.gz
ERR4281018,AMPLICON,SAMEA7000548,GOTHENBURG UNIVERISITY,2008,human,public,2021-03-23,2021-03-23,2020-06-23,2020-06-21,ENVO:00002003,ENVO:00002003,ENVO:00002003,ERX4233678,SAMEA7000548,Sweden,Europe,Sweden,56.67446,12.85676,human-gut,GOTHENBURG UNIVERISITY,GOTHENBURG UNIVERISITY,2021-03-23T08:56:55Z,2020-06-21T16:23:11Z,public,Illumina MiSeq,metagenome,V4_PCR,PAIRED,PCR,METAGENOMIC,Homo sapiens,ILLUMINA,Halmstad_childrenGut,2021-03-24T00:00:00Z,SAMEA7000548,1001-4M,4M,ERS4768628,ERP122450,1001-4M,16SrRNAprofile,501,32151107,22889309,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",PRJEB38986,SAMEA7000548,ERX4233678,9606,Homo sapiens,ftp.sra.ebi.ac.uk/vol1/fastq/ERR428/008/ERR4281018/ERR4281018_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR428/008/ERR4281018/ERR4281018_2.fastq.gz,ftp.sra.ebi.ac.uk/vol1/run/ERR428/ERR4281018/1001-4M_S42_L001_R1_001.fastq.gz,ftp.sra.ebi.ac.uk/vol1/run/ERR428/ERR4281018/1001-4M_S42_L001_R2_001.fastq.gz
ERR4281019,AMPLICON,SAMEA7000549,GOTHENBURG UNIVERISITY,2008,human,public,2021-03-23,2021-03-23,2020-06-23,2020-06-21,ENVO:00002003,ENVO:00002003,ENVO:00002003,ERX4233679,SAMEA7000549,Sweden,Europe,Sweden,56.67446,12.85676,human-gut,GOTHENBURG UNIVERISITY,GOTHENBURG UNIVERISITY,2021-03-23T08:56:55Z,2020-06-21T16:23:11Z,public,Illumina MiSeq,metagenome,V4_PCR,PAIRED,PCR,METAGENOMIC,Homo sapiens,ILLUMINA,Halmstad_childrenGut,2021-03-24T00:00:00Z,SAMEA7000549,1001-5Y,5Y,ERS4768629,ERP122450,1001-5Y,16SrRNAprofile,501,67577576,46974600,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",PRJEB38986,SAMEA7000549,ERX4233679,9606,Homo sapiens,ftp.sra.ebi.ac.uk/vol1/fastq/ERR428/009/ERR4281019/ERR4281019_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR428/009/ERR4281019/ERR4281019_2.fastq.gz,ftp.sra.ebi.ac.uk/vol1/run/ERR428/ERR4281019/1001-5Y_S42_L001_R1_001.fastq.gz,ftp.sra.ebi.ac.uk/vol1/run/ERR428/ERR4281019/1001-5Y_S42_L001_R2_001.fastq.gz
ERR4281020,AMPLICON,SAMEA7000550,GOTHENBURG UNIVERISITY,2008,human,public,2021-03-23,2021-03-23,2020-06-23,2020-06-21,ENVO:00002003,ENVO:00002003,ENVO:00002003,ERX4233680,SAMEA7000550,Sweden,Europe,Sweden,56.67446,12.85676,human-gut,GOTHENBURG UNIVERISITY,GOTHENBURG UNIVERISITY,2021-03-23T08:56:55Z,2020-06-21T16:23:11Z,public,Illumina MiSeq,metagenome,V4_PCR,PAIRED,PCR,METAGENOMIC,Homo sapiens,ILLUMINA,Halmstad_childrenGut,2021-03-24T00:00:00Z,SAMEA7000550,1001-NB,NB,ERS4768630,ERP122450,1001-NB,16SrRNAprofile,484,46938009,31663986,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",PRJEB38986,SAMEA7000550,ERX4233680,9606,Homo sapiens,ftp.sra.ebi.ac.uk/vol1/fastq/ERR428/000/ERR4281020/ERR4281020_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR428/000/ERR4281020/ERR4281020_2.fastq.gz,ftp.sra.ebi.ac.uk/vol1/run/ERR428/ERR4281020/1001-B_S42_L001_R1_001.fastq.gz,ftp.sra.ebi.ac.uk/vol1/run/ERR428/ERR4281020/1001-B_S42_L001_R2_001.fastq.gz
ERR4281021,AMPLICON,SAMEA7000551,GOTHENBURG UNIVERISITY,2008,human,public,2021-03-23,2021-03-23,2020-06-23,2020-06-21,ENVO:00002003,ENVO:00002003,ENVO:00002003,ERX4233681,SAMEA7000551,Sweden,Europe,Sweden,56.67446,12.85676,human-gut,GOTHENBURG UNIVERISITY,GOTHENBURG UNIVERISITY,2021-03-23T08:56:55Z,2020-06-21T16:23:11Z,public,Illumina MiSeq,metagenome,V4_PCR,PAIRED,PCR,METAGENOMIC,Homo sapiens,ILLUMINA,Halmstad_childrenGut,2021-03-24T00:00:00Z,SAMEA7000551,1001-M,M,ERS4768631,ERP122450,1001-M,16SrRNAprofile,501,161393337,118520995,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",PRJEB38986,SAMEA7000551,ERX4233681,9606,Homo sapiens,ftp.sra.ebi.ac.uk/vol1/fastq/ERR428/001/ERR4281021/ERR4281021_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR428/001/ERR4281021/ERR4281021_2.fastq.gz,ftp.sra.ebi.ac.uk/vol1/run/ERR428/ERR4281021/1001-M_S42_L001_R1_001.fastq.gz,ftp.sra.ebi.ac.uk/vol1/run/ERR428/ERR4281021/1001-M_S42_L001_R2_001.fastq.gz
ERR4281022,AMPLICON,SAMEA7000552,GOTHENBURG UNIVERISITY,2008,human,public,2021-03-23,2021-03-23,2020-06-23,2020-06-21,ENVO:00002003,ENVO:00002003,ENVO:00002003,ERX4233682,SAMEA7000552,Sweden,Europe,Sweden,56.67446,12.85676,human-gut,GOTHENBURG UNIVERISITY,GOTHENBURG UNIVERISITY,2021-03-23T08:56:55Z,2020-06-21T16:23:11Z,public,Illumina MiSeq,metagenome,V4_PCR,PAIRED,PCR,METAGENOMIC,Homo sapiens,ILLUMINA,Halmstad_childrenGut,2021-03-24T00:00:00Z,SAMEA7000552,1002-M,M,ERS4768632,ERP122450,1002-M,16SrRNAprofile,501,70860901,48230109,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",PRJEB38986,SAMEA7000552,ERX4233682,9606,Homo sapiens,ftp.sra.ebi.ac.uk/vol1/fastq/ERR428/002/ERR4281022/ERR4281022_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR428/002/ERR4281022/ERR4281022_2.fastq.gz,ftp.sra.ebi.ac.uk/vol1/run/ERR428/ERR4281022/1002-M_S42_L001_R1_001.fastq.gz,ftp.sra.ebi.ac.uk/vol1/run/ERR428/ERR4281022/1002-M_S42_L001_R2_001.fastq.gz
ERR4281023,AMPLICON,SAMEA7000553,GOTHENBURG UNIVERISITY,2008,human,public,2021-03-23,2021-03-23,2020-06-23,2020-06-21,ENVO:00002003,ENVO:00002003,ENVO:00002003,ERX4233683,SAMEA7000553,Sweden,Europe,Sweden,56.67446,12.85676,human-gut,GOTHENBURG UNIVERISITY,GOTHENBURG UNIVERISITY,2021-03-23T08:56:55Z,2020-06-21T16:23:11Z,public,Illumina MiSeq,metagenome,V4_PCR,PAIRED,PCR,METAGENOMIC,Homo sapiens,ILLUMINA,Halmstad_childrenGut,2021-03-24T00:00:00Z,SAMEA7000553,1003-4M,4M,ERS4768633,ERP122450,1003-4M,16SrRNAprofile,501,54509042,36699235,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",PRJEB38986,SAMEA7000553,ERX4233683,9606,Homo sapiens,ftp.sra.ebi.ac.uk/vol1/fastq/ERR428/003/ERR4281023/ERR4281023_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR428/003/ERR4281023/ERR4281023_2.fastq.gz,ftp.sra.ebi.ac.uk/vol1/run/ERR428/ERR4281023/1003-4M_S42_L001_R1_001.fastq.gz,ftp.sra.ebi.ac.uk/vol1/run/ERR428/ERR4281023/1003-4M_S42_L001_R2_001.fastq.gz
ERR4281024,AMPLICON,SAMEA7000554,GOTHENBURG UNIVERISITY,2008,human,public,2021-03-23,2021-03-23,2020-06-23,2020-06-21,ENVO:00002003,ENVO:00002003,ENVO:00002003,ERX4233684,SAMEA7000554,Sweden,Europe,Sweden,56.67446,12.85676,human-gut,GOTHENBURG UNIVERISITY,GOTHENBURG UNIVERISITY,2021-03-23T08:56:55Z,2020-06-21T16:23:11Z,public,Illumina MiSeq,metagenome,V4_PCR,PAIRED,PCR,METAGENOMIC,Homo sapiens,ILLUMINA,Halmstad_childrenGut,2021-03-24T00:00:00Z,SAMEA7000554,1003-M,M,ERS4768634,ERP122450,1003-M,16SrRNAprofile,501,61494454,41791546,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",PRJEB38986,SAMEA7000554,ERX4233684,9606,Homo sapiens,ftp.sra.ebi.ac.uk/vol1/fastq/ERR428/004/ERR4281024/ERR4281024_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR428/004/ERR4281024/ERR4281024_2.fastq.gz,ftp.sra.ebi.ac.uk/vol1/run/ERR428/ERR4281024/1003-M_S42_L001_R1_001.fastq.gz,ftp.sra.ebi.ac.uk/vol1/run/ERR428/ERR4281024/1003-M_S42_L001_R2_001.fastq.gz
ERR4281025,AMPLICON,SAMEA7000555,GOTHENBURG UNIVERISITY,2008,human,public,2021-03-23,2021-03-23,2020-06-23,2020-06-21,ENVO:00002003,ENVO:00002003,ENVO:00002003,ERX4233685,SAMEA7000555,Sweden,Europe,Sweden,56.67446,12.85676,human-gut,GOTHENBURG UNIVERISITY,GOTHENBURG UNIVERISITY,2021-03-23T08:56:55Z,2020-06-21T16:23:11Z,public,Illumina MiSeq,metagenome,V4_PCR,PAIRED,PCR,METAGENOMIC,Homo sapiens,ILLUMINA,Halmstad_childrenGut,2021-03-24T00:00:00Z,SAMEA7000555,1004-12M,12M,ERS4768635,ERP122450,1004-12M,16SrRNAprofile,501,19451514,13658938,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",PRJEB38986,SAMEA7000555,ERX4233685,9606,Homo sapiens,ftp.sra.ebi.ac.uk/vol1/fastq/ERR428/005/ERR4281025/ERR4281025_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR428/005/ERR4281025/ERR4281025_2.fastq.gz,ftp.sra.ebi.ac.uk/vol1/run/ERR428/ERR4281025/1004-12M_S42_L001_R1_001.fastq.gz,ftp.sra.ebi.ac.uk/vol1/run/ERR428/ERR4281025/1004-12M_S42_L001_R2_001.fastq.gz
