# Constructed from biom file
#OTU ID	sample-129	sample-197	sample-1	sample-152	sample-160	sample-173	sample-110	sample-112	sample-52	sample-195	sample-133	sample-59	sample-204	sample-53	sample-29	sample-169	sample-231	sample-11	sample-35	sample-236	sample-170	sample-136	sample-124	sample-56	sample-189	sample-154	sample-95	sample-103	sample-111	sample-184	sample-80	sample-72	sample-13	sample-119	sample-237	sample-115	sample-25	sample-150	sample-230	sample-83	sample-213	sample-223	sample-9	sample-82	sample-228	sample-125	sample-79	sample-33	sample-58	sample-99	sample-224	sample-120	sample-38	sample-214	sample-128	sample-105	sample-14	sample-31	sample-54	sample-16	sample-181	sample-208	sample-41	sample-92	sample-21	sample-121	sample-135	sample-15	sample-141	sample-174	sample-177	sample-222	sample-210	sample-164	sample-198	sample-200	sample-109	sample-137	sample-118	sample-106	sample-20	sample-47	sample-194	sample-221	sample-30	sample-7	sample-138	sample-60	sample-183	sample-144	sample-146	sample-186	sample-93	sample-199	sample-65	sample-97	sample-175	sample-96	sample-235	sample-86	sample-168	sample-215	sample-84	sample-234	sample-113	sample-218	sample-123	sample-73	sample-104	sample-134	sample-12	sample-8	sample-3	sample-10	sample-49	sample-167	sample-226	sample-126	sample-64	sample-179	sample-225	sample-23	sample-90	sample-227	sample-211	sample-67	sample-32	sample-42	sample-127	sample-88	sample-165	sample-220	sample-17	sample-122	sample-171	sample-40	sample-94	sample-142	sample-201	sample-140	sample-62	sample-188	sample-107	sample-159	sample-24	sample-155	sample-233	sample-147	sample-69	sample-178	sample-75	sample-46	sample-2	sample-116	sample-26	sample-212	sample-37	sample-87	sample-48	sample-89	sample-145	sample-130	sample-108	sample-55	sample-203	sample-61	sample-85	sample-81	sample-6	sample-158	sample-156	sample-78	sample-22	sample-187	sample-51	sample-63	sample-162	sample-232	sample-163	sample-4	sample-202	sample-193	sample-74	sample-206	sample-57	sample-176	sample-229	sample-34	sample-185	sample-153	sample-77	sample-191	sample-149	sample-132	sample-50	sample-98	sample-139	sample-166	sample-190	sample-71	sample-209	sample-91	sample-182	sample-161	sample-66	sample-172	sample-70	sample-217	sample-219	sample-102	sample-19	sample-207	sample-216	sample-100	sample-76	sample-43	sample-28	sample-36	sample-131	sample-157	sample-117	sample-45	sample-44	sample-151	sample-205	sample-196	sample-39	sample-68	sample-114	sample-101	sample-27	sample-192	sample-5	sample-143	sample-180	sample-148	sample-18
459e387e8738f7788025bd331f72de51	1201.0	0.0	12.0	0.0	3.0	3.0	4.0	20.0	0.0	0.0	25.0	16.0	0.0	47.0	1320.0	160.0	12.0	7.0	277.0	0.0	4.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	88.0	0.0	22.0	17.0	22.0	10.0	0.0	10.0	26.0	0.0	0.0	12.0	0.0	0.0	348.0	30.0	0.0	6.0	0.0	407.0	2.0	0.0	0.0	0.0	255.0	18.0	10.0	0.0	11.0	145.0	24.0	0.0	0.0	2.0	122.0	8.0	45.0	20.0	5.0	90.0	64.0	0.0	0.0	1.0	3.0	4.0	0.0	0.0	4.0	22.0	6.0	2.0	33.0	7.0	0.0	0.0	372.0	20.0	8.0	33.0	10.0	0.0	2.0	0.0	5.0	0.0	0.0	49.0	3.0	0.0	0.0	4.0	13.0	0.0	68.0	145.0	0.0	3.0	12.0	355.0	0.0	6.0	369.0	61.0	502.0	0.0	7.0	0.0	0.0	47.0	14.0	1.0	0.0	232.0	2.0	0.0	0.0	57.0	994.0	122.0	0.0	0.0	9.0	1.0	608.0	27.0	20.0	110.0	20.0	11.0	11.0	0.0	68.0	0.0	228.0	0.0	0.0	0.0	145.0	0.0	145.0	6.0	10.0	20.0	800.0	5.0	13.0	9.0	177.0	24.0	7.0	26.0	0.0	44.0	228.0	134.0	0.0	0.0	56.0	3.0	172.0	4.0	3.0	45.0	0.0	0.0	212.0	145.0	0.0	12.0	0.0	195.0	4.0	8.0	26.0	1.0	0.0	0.0	7.0	40.0	0.0	0.0	946.0	13.0	0.0	11.0	51.0	63.0	0.0	5.0	0.0	0.0	0.0	8.0	0.0	5.0	7.0	18.0	0.0	2.0	27.0	390.0	64.0	0.0	0.0	6.0	10.0	0.0	2.0	277.0	9.0	0.0	2.0	17.0	0.0	0.0	2.0	0.0	2.0	18.0	2.0	0.0	13.0	2.0	9.0	0.0	44.0	0.0	0.0
0f4f33df5e0906a659230d7b932943f1	993.0	5.0	314.0	75.0	3.0	186.0	7.0	18.0	31.0	0.0	123.0	62.0	19.0	293.0	1582.0	318.0	119.0	206.0	402.0	15.0	106.0	0.0	31.0	0.0	0.0	54.0	11.0	178.0	128.0	3.0	40.0	37.0	91.0	275.0	15.0	7.0	587.0	424.0	0.0	14.0	0.0	15.0	976.0	366.0	6.0	159.0	122.0	1918.0	98.0	548.0	15.0	58.0	878.0	66.0	285.0	31.0	30.0	0.0	248.0	570.0	118.0	15.0	923.0	9.0	1051.0	29.0	23.0	679.0	29.0	71.0	339.0	10.0	3.0	29.0	0.0	154.0	7.0	13.0	56.0	5.0	419.0	1225.0	2.0	24.0	345.0	51.0	349.0	117.0	182.0	0.0	0.0	103.0	2.0	0.0	100.0	134.0	0.0	1501.0	0.0	4.0	48.0	3.0	30.0	197.0	4.0	2.0	71.0	697.0	178.0	49.0	1116.0	191.0	4642.0	910.0	182.0	4.0	0.0	380.0	32.0	55.0	0.0	1601.0	15.0	6.0	9.0	968.0	2042.0	433.0	115.0	60.0	0.0	16.0	2268.0	56.0	102.0	522.0	8.0	3.0	16.0	26.0	359.0	0.0	621.0	1.0	1124.0	0.0	197.0	29.0	306.0	73.0	104.0	323.0	3615.0	0.0	345.0	8.0	1349.0	319.0	1225.0	300.0	0.0	76.0	621.0	632.0	3.0	182.0	252.0	0.0	926.0	17.0	12.0	483.0	708.0	0.0	323.0	690.0	14.0	119.0	104.0	505.0	29.0	75.0	184.0	47.0	0.0	191.0	13.0	117.0	103.0	0.0	1219.0	158.0	0.0	11.0	1806.0	570.0	3.0	997.0	8.0	0.0	245.0	39.0	15.0	74.0	887.0	4.0	0.0	2.0	41.0	986.0	745.0	28.0	9.0	15.0	104.0	80.0	139.0	402.0	2.0	0.0	17.0	550.0	251.0	0.0	14.0	13.0	3.0	209.0	9.0	8.0	345.0	2.0	169.0	0.0	121.0	0.0	798.0
ffc92efd03a0ce956dbeefe6d5030188	826.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0	0.0	0.0	0.0	2.0	0.0	11.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	64.0	0.0	0.0	0.0	0.0	0.0	19.0	15.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0	11.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	14.0	0.0	0.0	0.0	560.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	55.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	18.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0	0.0	0.0	63.0	0.0	0.0	25.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	72.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
7497591725865862005a99aab0d3a380	733.0	98.0	465.0	351.0	478.0	846.0	460.0	679.0	323.0	72.0	485.0	190.0	609.0	932.0	3.0	319.0	983.0	36.0	0.0	344.0	1234.0	257.0	1085.0	79.0	219.0	20.0	78.0	334.0	227.0	309.0	155.0	367.0	89.0	639.0	344.0	109.0	448.0	741.0	341.0	791.0	418.0	115.0	548.0	170.0	787.0	541.0	124.0	319.0	370.0	261.0	115.0	106.0	680.0	863.0	1128.0	44.0	402.0	59.0	301.0	144.0	120.0	588.0	219.0	309.0	197.0	486.0	701.0	0.0	59.0	634.0	330.0	1087.0	504.0	507.0	107.0	300.0	460.0	108.0	32.0	238.0	32.0	41.0	220.0	562.0	218.0	437.0	314.0	488.0	258.0	154.0	114.0	20.0	206.0	243.0	74.0	381.0	175.0	1580.0	927.0	171.0	534.0	918.0	1271.0	942.0	128.0	151.0	214.0	0.0	334.0	1346.0	482.0	475.0	1435.0	47.0	118.0	55.0	0.0	514.0	254.0	656.0	0.0	0.0	131.0	787.0	240.0	735.0	0.0	257.0	194.0	159.0	304.0	1140.0	413.0	717.0	490.0	346.0	825.0	68.0	530.0	659.0	332.0	232.0	846.0	350.0	581.0	596.0	942.0	192.0	655.0	216.0	668.0	156.0	1103.0	103.0	540.0	514.0	94.0	40.0	41.0	809.0	44.0	738.0	846.0	0.0	310.0	309.0	491.0	268.0	424.0	326.0	1959.0	454.0	0.0	121.0	39.0	0.0	550.0	983.0	923.0	955.0	432.0	9715.0	837.0	786.0	79.0	165.0	107.0	503.0	20.0	488.0	937.0	243.0	63.0	342.0	206.0	394.0	133.0	1506.0	334.0	30.0	843.0	555.0	170.0	815.0	1165.0	408.0	30.0	1003.0	203.0	664.0	53.0	645.0	167.0	493.0	668.0	87.0	28.0	0.0	284.0	357.0	418.0	141.0	65.0	200.0	735.0	234.0	79.0	153.0	763.0	166.0	540.0	81.0	80.0	269.0	645.0	63.0	1480.0
7a397e95c07e91fc72f7738d78cad8ba	651.0	0.0	58.0	41.0	79.0	67.0	174.0	273.0	123.0	16.0	67.0	42.0	49.0	60.0	0.0	55.0	171.0	41.0	0.0	2.0	29.0	0.0	0.0	75.0	41.0	19.0	5.0	0.0	32.0	95.0	16.0	13.0	0.0	66.0	2.0	31.0	47.0	107.0	7.0	21.0	68.0	48.0	14.0	420.0	18.0	36.0	82.0	104.0	83.0	2.0	48.0	26.0	45.0	40.0	0.0	5.0	4.0	23.0	0.0	32.0	43.0	24.0	40.0	28.0	0.0	74.0	0.0	5.0	2.0	31.0	0.0	122.0	29.0	24.0	29.0	7.0	174.0	47.0	15.0	26.0	17.0	13.0	24.0	23.0	0.0	3.0	21.0	0.0	4.0	26.0	39.0	0.0	56.0	48.0	24.0	116.0	24.0	32.0	10.0	16.0	149.0	99.0	38.0	44.0	6.0	9.0	58.0	0.0	0.0	0.0	33.0	207.0	95.0	3.0	55.0	11.0	0.0	159.0	109.0	168.0	0.0	1007.0	10.0	18.0	47.0	63.0	2.0	6.0	2.0	20.0	54.0	137.0	5.0	179.0	179.0	53.0	0.0	25.0	61.0	137.0	101.0	30.0	0.0	14.0	106.0	308.0	44.0	64.0	32.0	29.0	44.0	2.0	7.0	252.0	54.0	2.0	5.0	0.0	13.0	25.0	0.0	542.0	0.0	0.0	20.0	97.0	0.0	139.0	71.0	142.0	50.0	20.0	0.0	10.0	158.0	417.0	41.0	171.0	100.0	260.0	42.0	1624.0	103.0	101.0	75.0	3.0	37.0	49.0	0.0	71.0	0.0	65.0	24.0	0.0	5.0	57.0	2.0	27.0	13.0	0.0	25.0	18.0	33.0	278.0	0.0	32.0	0.0	105.0	81.0	0.0	104.0	39.0	8.0	0.0	44.0	0.0	0.0	0.0	33.0	1.0	0.0	154.0	54.0	9.0	52.0	36.0	2.0	23.0	224.0	13.0	54.0	23.0	39.0	8.0	5.0	24.0	121.0
c2a6084aa4abb711c872faf837108b5c	619.0	0.0	2.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	7.0	210.0	0.0	0.0	0.0	0.0	0.0	0.0	591.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	34.0	0.0	0.0	247.0	220.0	0.0	307.0	0.0	0.0	0.0	0.0	0.0	12.0	0.0	0.0	0.0	3.0	0.0	0.0	8.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	23.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	20.0	0.0	0.0	0.0	0.0	0.0	0.0	38.0	0.0	0.0	0.0	23.0	0.0	0.0	0.0	189.0	0.0	0.0	73.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	144.0	0.0	0.0	0.0	0.0	0.0	0.0	340.0	0.0	0.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.0	0.0	46.0	312.0	0.0	0.0	184.0	0.0	0.0	553.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	111.0	640.0	4.0	0.0	2.0	0.0	0.0	1125.0	0.0	7.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	277.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	23.0	0.0	0.0	0.0	0.0	0.0	0.0	1346.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	244.0	0.0	0.0	36.0	17.0	199.0	111.0	41.0	0.0	591.0	0.0	0.0	0.0	0.0	0.0	0.0	30.0	0.0	0.0	11.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0
b8f9792a749910a3d5a506bce588233d	509.0	2.0	84.0	86.0	81.0	174.0	98.0	210.0	44.0	16.0	40.0	68.0	136.0	193.0	4.0	49.0	77.0	63.0	225.0	58.0	321.0	0.0	141.0	11.0	40.0	53.0	27.0	150.0	16.0	75.0	10.0	58.0	0.0	0.0	58.0	81.0	66.0	329.0	29.0	24.0	297.0	51.0	114.0	98.0	9.0	121.0	61.0	281.0	0.0	173.0	51.0	4.0	77.0	171.0	465.0	0.0	0.0	6.0	26.0	25.0	83.0	150.0	161.0	12.0	0.0	24.0	8.0	347.0	0.0	216.0	0.0	95.0	14.0	31.0	8.0	111.0	98.0	64.0	26.0	155.0	48.0	0.0	13.0	200.0	0.0	0.0	84.0	70.0	223.0	62.0	6.0	50.0	30.0	0.0	8.0	310.0	58.0	194.0	115.0	0.0	45.0	0.0	0.0	183.0	42.0	97.0	33.0	0.0	150.0	169.0	24.0	33.0	0.0	5.0	43.0	58.0	0.0	443.0	42.0	137.0	0.0	0.0	90.0	9.0	74.0	68.0	784.0	34.0	0.0	651.0	229.0	57.0	194.0	29.0	326.0	0.0	0.0	14.0	64.0	120.0	79.0	44.0	0.0	50.0	1.0	159.0	183.0	191.0	1329.0	31.0	163.0	0.0	0.0	0.0	0.0	70.0	16.0	85.0	0.0	188.0	0.0	0.0	0.0	0.0	202.0	59.0	583.0	13.0	247.0	188.0	451.0	497.0	0.0	9.0	0.0	1705.0	19.0	77.0	10.0	68.0	39.0	1035.0	534.0	2.0	11.0	72.0	41.0	132.0	50.0	16.0	0.0	55.0	33.0	156.0	0.0	95.0	7.0	402.0	38.0	2.0	209.0	134.0	20.0	158.0	0.0	4.0	2.0	275.0	193.0	0.0	104.0	34.0	0.0	0.0	163.0	0.0	0.0	225.0	0.0	154.0	57.0	15.0	54.0	0.0	157.0	0.0	3.0	14.0	40.0	17.0	0.0	28.0	14.0	17.0	111.0	33.0	0.0
f93ea698c2b206b99280d267f27a380c	492.0	0.0	6.0	0.0	0.0	40.0	0.0	6.0	0.0	0.0	62.0	47.0	0.0	0.0	342.0	35.0	4.0	62.0	25.0	0.0	7.0	0.0	0.0	0.0	0.0	0.0	1.0	66.0	9.0	0.0	14.0	29.0	0.0	25.0	0.0	2.0	192.0	0.0	0.0	2.0	0.0	9.0	351.0	18.0	3.0	32.0	24.0	93.0	5.0	3.0	9.0	0.0	108.0	1.0	11.0	13.0	28.0	61.0	91.0	0.0	1.0	5.0	100.0	0.0	534.0	1.0	2.0	120.0	12.0	34.0	0.0	1.0	0.0	0.0	0.0	5.0	0.0	0.0	3.0	0.0	242.0	274.0	0.0	4.0	0.0	12.0	117.0	17.0	0.0	0.0	0.0	0.0	5.0	0.0	78.0	367.0	0.0	131.0	0.0	4.0	9.0	0.0	18.0	58.0	0.0	0.0	7.0	19.0	66.0	0.0	0.0	47.0	124.0	1.0	11.0	0.0	0.0	260.0	6.0	0.0	0.0	118.0	2.0	3.0	0.0	178.0	723.0	185.0	7.0	0.0	0.0	3.0	331.0	2.0	5.0	78.0	1.0	0.0	13.0	0.0	186.0	0.0	158.0	0.0	520.0	0.0	58.0	0.0	79.0	0.0	7.0	57.0	0.0	0.0	57.0	0.0	89.0	0.0	274.0	20.0	0.0	9.0	158.0	125.0	0.0	3.0	46.0	2.0	183.0	0.0	4.0	0.0	91.0	0.0	0.0	57.0	0.0	4.0	0.0	63.0	4.0	0.0	32.0	7.0	0.0	0.0	5.0	15.0	0.0	0.0	932.0	31.0	0.0	1.0	394.0	0.0	0.0	361.0	0.0	0.0	103.0	5.0	0.0	3.0	111.0	15.0	0.0	0.0	0.0	293.0	50.0	1.0	0.0	2.0	7.0	16.0	0.0	25.0	0.0	0.0	2.0	175.0	0.0	0.0	0.0	0.0	0.0	9.0	0.0	0.0	57.0	0.0	52.0	0.0	0.0	0.0	253.0
2a09bbe5aae4a411d2908261d60ca7d7	469.0	0.0	0.0	0.0	0.0	13.0	6.0	0.0	0.0	0.0	0.0	0.0	122.0	70.0	0.0	0.0	9.0	0.0	5.0	14.0	0.0	0.0	0.0	45.0	0.0	586.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	18.0	14.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	62.0	0.0	0.0	0.0	19.0	101.0	0.0	35.0	0.0	0.0	39.0	236.0	0.0	0.0	0.0	18.0	52.0	3.0	39.0	15.0	0.0	0.0	0.0	0.0	0.0	48.0	0.0	11.0	401.0	0.0	2.0	100.0	0.0	81.0	6.0	0.0	5.0	0.0	38.0	57.0	2.0	49.0	0.0	0.0	0.0	38.0	49.0	0.0	0.0	197.0	0.0	0.0	1.0	31.0	6.0	770.0	4.0	0.0	7.0	0.0	0.0	0.0	24.0	0.0	0.0	330.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	15.0	0.0	0.0	1.0	348.0	0.0	0.0	0.0	0.0	0.0	0.0	693.0	17.0	0.0	1159.0	0.0	0.0	435.0	0.0	0.0	119.0	0.0	0.0	252.0	56.0	23.0	0.0	0.0	331.0	0.0	0.0	0.0	29.0	131.0	0.0	0.0	13.0	335.0	0.0	0.0	9.0	0.0	752.0	57.0	21.0	0.0	0.0	0.0	0.0	113.0	0.0	3.0	0.0	0.0	20.0	2.0	85.0	59.0	0.0	0.0	729.0	0.0	9.0	372.0	0.0	4.0	63.0	176.0	0.0	45.0	1287.0	0.0	0.0	197.0	11.0	0.0	2.0	5.0	0.0	184.0	209.0	5.0	0.0	0.0	0.0	9.0	0.0	5.0	1.0	0.0	1.0	0.0	0.0	0.0	51.0	0.0	30.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0	0.0	4.0	29.0	82.0	0.0	3.0	11.0	0.0	11.0	0.0	2.0	0.0	0.0	0.0	0.0	194.0	5.0	59.0
645c56d3e267ef39d43e2338b3622113	410.0	0.0	151.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	22.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	44.0	0.0	107.0	2.0	0.0	0.0	0.0	0.0	72.0	0.0	0.0	0.0	0.0	6.0	249.0	2.0	0.0	0.0	25.0	0.0	0.0	9.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	171.0	0.0	0.0	278.0	21.0	0.0	5.0	5.0	0.0	153.0	0.0	0.0	0.0	0.0	0.0	0.0	28.0	149.0	0.0	0.0	0.0	0.0	45.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	133.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	47.0	0.0	0.0	0.0	8.0	0.0	0.0	0.0	0.0	0.0	12.0	93.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	84.0	0.0	57.0	4.0	0.0	4.0	0.0	0.0	0.0	333.0	0.0	0.0	0.0	0.0	0.0	91.0	0.0	12.0	0.0	620.0	0.0	47.0	0.0	0.0	0.0	8.0	5.0	22.0	0.0	0.0	0.0	62.0	0.0	149.0	0.0	0.0	0.0	12.0	0.0	0.0	0.0	0.0	0.0	326.0	0.0	0.0	0.0	0.0	0.0	0.0	628.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	335.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	3.0	0.0	0.0	0.0	5.0	0.0	228.0	2.0	0.0	0.0	8.0	40.0	0.0	0.0	0.0	0.0	0.0	0.0	25.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	12.0
