Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,BioSampleModel,Bytes,Center Name,Collection_Date,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,env_biome,env_feature,env_material,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,Host_diet,Host,Instrument,lat_lon,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,Sample Name,SRA Study,groups
SRR10698127,AMPLICON,420,62069280,PRJNA595949,SAMN13577758,Metagenome or environmental,33622422,UNIVERSITE CATHOLIQUE DE LOUVAIN,2017-12-03,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",intestine environment,organic feature,organic material,SRX7374808,Belgium,Europe,Belgium: Brussels,E44M0_inulin,Homo sapiens,Illumina MiSeq,50.81 N 4.26 E,E44M0_inulin,PAIRED,PCR,METAGENOMIC,metagenome,ILLUMINA,2020-02-20T00:00:00Z,E44M0,SRP237728,M0_inulin
SRR10698138,AMPLICON,420,50967420,PRJNA595949,SAMN13577748,Metagenome or environmental,28248266,UNIVERSITE CATHOLIQUE DE LOUVAIN,2017-07-04,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",intestine environment,organic feature,organic material,SRX7374797,Belgium,Europe,Belgium: Brussels,E32M0_inulin,Homo sapiens,Illumina MiSeq,50.81 N 4.26 E,E32M0_inulin,PAIRED,PCR,METAGENOMIC,metagenome,ILLUMINA,2020-02-20T00:00:00Z,E32M0,SRP237728,M0_inulin
SRR10698142,AMPLICON,420,35443380,PRJNA595949,SAMN13577744,Metagenome or environmental,19352489,UNIVERSITE CATHOLIQUE DE LOUVAIN,2017-02-28,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",intestine environment,organic feature,organic material,SRX7374793,Belgium,Europe,Belgium: Brussels,E22M0_inulin,Homo sapiens,Illumina MiSeq,50.81 N 4.26 E,E22M0_inulin,PAIRED,PCR,METAGENOMIC,metagenome,ILLUMINA,2020-02-20T00:00:00Z,E22M0,SRP237728,M0_inulin
SRR10698151,AMPLICON,420,55147260,PRJNA595949,SAMN13577736,Metagenome or environmental,29988589,UNIVERSITE CATHOLIQUE DE LOUVAIN,2017-01-31,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",intestine environment,organic feature,organic material,SRX7374784,Belgium,Europe,Belgium: Brussels,E11M0_inulin,Homo sapiens,Illumina MiSeq,50.81 N 4.26 E,E11M0_inulin,PAIRED,PCR,METAGENOMIC,metagenome,ILLUMINA,2020-02-20T00:00:00Z,E11M0,SRP237728,M0_inulin
SRR10698153,AMPLICON,420,50544480,PRJNA595949,SAMN13577734,Metagenome or environmental,27892382,UNIVERSITE CATHOLIQUE DE LOUVAIN,2016-12-20,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",intestine environment,organic feature,organic material,SRX7374782,Belgium,Europe,Belgium: Brussels,E10M0_inulin,Homo sapiens,Illumina MiSeq,50.81 N 4.26 E,E10M0_inulin,PAIRED,PCR,METAGENOMIC,metagenome,ILLUMINA,2020-02-20T00:00:00Z,E10M0,SRP237728,M0_inulin
SRR10698157,AMPLICON,420,42702240,PRJNA595949,SAMN13577730,Metagenome or environmental,23489563,UNIVERSITE CATHOLIQUE DE LOUVAIN,2016-01-27,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",intestine environment,organic feature,organic material,SRX7374778,Belgium,Europe,Belgium: Brussels,E01M0_inulin,Homo sapiens,Illumina MiSeq,50.81 N 4.26 E,E01M0_inulin,PAIRED,PCR,METAGENOMIC,metagenome,ILLUMINA,2020-02-20T00:00:00Z,E01M0,SRP237728,M0_inulin
SRR10698160,AMPLICON,420,41387220,PRJNA595949,SAMN13577728,Metagenome or environmental,23362573,UNIVERSITE CATHOLIQUE DE LOUVAIN,2017-12-04,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",intestine environment,organic feature,organic material,SRX7374775,Belgium,Europe,Belgium: Liege,C44M0_inulin,Homo sapiens,Illumina MiSeq,50.57 N 5.56 E,C44M0_inulin,PAIRED,PCR,METAGENOMIC,metagenome,ILLUMINA,2020-02-20T00:00:00Z,C44M0,SRP237728,M0_inulin
SRR10698162,AMPLICON,420,27645240,PRJNA595949,SAMN13577726,Metagenome or environmental,16362684,UNIVERSITE CATHOLIQUE DE LOUVAIN,2017-11-07,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",intestine environment,organic feature,organic material,SRX7374773,Belgium,Europe,Belgium: Liege,C43M0_inulin,Homo sapiens,Illumina MiSeq,50.57 N 5.56 E,C43M0_inulin,PAIRED,PCR,METAGENOMIC,metagenome,ILLUMINA,2020-02-20T00:00:00Z,C43M0,SRP237728,M0_inulin
SRR10698164,AMPLICON,420,55639080,PRJNA595949,SAMN13577724,Metagenome or environmental,30756435,UNIVERSITE CATHOLIQUE DE LOUVAIN,2017-10-03,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",intestine environment,organic feature,organic material,SRX7374771,Belgium,Europe,Belgium: Liege,C40M0_inulin,Homo sapiens,Illumina MiSeq,50.57 N 5.56 E,C40M0_inulin,PAIRED,PCR,METAGENOMIC,metagenome,ILLUMINA,2020-02-20T00:00:00Z,C40M0,SRP237728,M0_inulin
SRR10698166,AMPLICON,420,48826260,PRJNA595949,SAMN13577722,Metagenome or environmental,26898408,UNIVERSITE CATHOLIQUE DE LOUVAIN,2017-08-31,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",intestine environment,organic feature,organic material,SRX7374769,Belgium,Europe,Belgium: Liege,C39M0_inulin,Homo sapiens,Illumina MiSeq,50.57 N 5.56 E,C39M0_inulin,PAIRED,PCR,METAGENOMIC,metagenome,ILLUMINA,2020-02-20T00:00:00Z,C39M0,SRP237728,M0_inulin
