folder	dataset	sample-id	ace	berger_parker_d	brillouin_d	chao1	dominance	doubles	enspie	faith_pd	fisher_alpha	gini_index	goods_coverage	heip_e	lladser_pe	margalef	mcintosh_d	menhinick	observed_features	pielou_evenness	robbins	shannon_entropy	simpson	singles	strong	sample-frequency	Run	Assay Type	AvgSpotLen	Bases	BioProject	BioSample	BioSampleModel	Bytes	Center Name	Collection_Date	Consent	DATASTORE filetype	DATASTORE provider	DATASTORE region	env_biome	env_feature	env_material	Experiment	geo_loc_name_country	geo_loc_name_country_continent	geo_loc_name	Host_diet	Host	Instrument	lat_lon	Library Name	LibraryLayout	LibrarySelection	LibrarySource	Organism	Platform	ReleaseDate	Sample Name	SRA Study	groups
95_obese	95_obese_M0_inulin	sample-19	178.26667656890655	0.1385889852409119	3.748969288656813	176.4	0.0420779654421251	14	23.765407606872493	14.256791079209044	21.670097233541373	0.9831125102974382	0.9998995003732843	0.240118450333787	0.0003171562216375	15.603608520703188	0.7978941374200527	0.6630881290455032	175	0.7272489101942174	0.0001004996267156	5.418885160707105	0.9579220345578748	7	0.6613106792133956	69652.0	SRR10698144	AMPLICON	420	44933700	PRJNA595949	SAMN13577742	Metagenome or environmental	25309876	UNIVERSITE CATHOLIQUE DE LOUVAIN	2017-02-27	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	intestine environment	organic feature	organic material	SRX7374791	Belgium	Europe	Belgium: Brussels	E21M0_inulin	Homo sapiens	Illumina MiSeq	50.81 N 4.26 E	E21M0_inulin	PAIRED	PCR	METAGENOMIC	metagenome	ILLUMINA	2020-02-20T00:00:00Z	E21M0	SRP237728	M0_inulin
95_obese	95_obese_M3_placebo	sample-129	175.4277682857657	0.0952636195302602	3.774640112634132	173.4	0.0344709684770611	14	29.00991890220474	14.223317960970412	21.479389881625178	0.9832877464596208	0.9998538154176008	0.2524608815841157	0.000393145011114	15.415495133758824	0.8176316518024974	0.6891688531960607	171	0.7356242164911897	0.0001461845823993	5.45675194431014	0.9655290315229388	9	0.6814287448472072	61566.0	SRR10698254	AMPLICON	420	43420020	PRJNA595949	SAMN13577813	Metagenome or environmental	24609261	UNIVERSITE CATHOLIQUE DE LOUVAIN	2017-06-02	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	intestine environment	organic feature	organic material	SRX7374681	Belgium	Europe	Belgium: Brussels	S34M3_placebo	Homo sapiens	Illumina MiSeq	50.85 N 4.45 E	S34M3_placebo	PAIRED	PCR	METAGENOMIC	metagenome	ILLUMINA	2020-02-20T00:00:00Z	S34M3	SRP237728	M3_placebo
95_obese	95_obese_M3_inulin	sample-73	147.31641694229015	0.0853215357876441	3.722544213910668	146.0	0.0363203001111473	8	27.532812144718005	12.86772616215848	16.746126277449513	0.9842586028814208	0.9998683309632906	0.2899926401996398	0.0003005283664256	12.45794977606827	0.8123689250689318	0.5116358195844128	141	0.7533352761062488	0.0001316690367093	5.378475889334088	0.9636796998888528	10	0.6311583289350272	75948.0	SRR10698198	AMPLICON	420	49004760	PRJNA595949	SAMN13577693	Metagenome or environmental	26151508	UNIVERSITE CATHOLIQUE DE LOUVAIN	2017-03-29	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	intestine environment	organic feature	organic material	SRX7374737	Belgium	Europe	Belgium: Liege	C19M3_inulin	Homo sapiens	Illumina MiSeq	50.57 N 5.56 E	C19M3_inulin	PAIRED	PCR	METAGENOMIC	metagenome	ILLUMINA	2020-02-20T00:00:00Z	C19M3	SRP237728	M3_inulin
95_obese	95_obese_M0_inulin	sample-61	164.68429487179486	0.2381211314860878	3.2846091101797548	162.76923076923077	0.0877911400249944	12	11.390671082700337	18.21592038423006	18.995197937887017	0.9876192053528076	0.9998958755133917	0.1625108305516822	0.0002747377804173	13.987677514586482	0.7061060381717327	0.5442208351983506	160	0.6482269271983734	0.0001041244866084	4.7462709501162745	0.9122088599750056	9	0.6938212240411871	86435.0	SRR10698186	AMPLICON	420	54975900	PRJNA595949	SAMN13577704	Metagenome or environmental	30146733	UNIVERSITE CATHOLIQUE DE LOUVAIN	2017-02-22	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	intestine environment	organic feature	organic material	SRX7374749	Belgium	Europe	Belgium: Liege	C26M0_inulin	Homo sapiens	Illumina MiSeq	50.57 N 5.56 E	C26M0_inulin	PAIRED	PCR	METAGENOMIC	metagenome	ILLUMINA	2020-02-20T00:00:00Z	C26M0	SRP237728	M0_inulin
95_obese	95_obese_M0_inulin	sample-152	206.89284692826	0.3183226961752146	3.263722112474472	203.5	0.1175808587368503	21	8.504785649150866	20.01282708908989	24.593826677943824	0.9862056279736507	0.9998737315762892	0.1265428344762205	0.0004145994537193	17.582424008124267	0.659333205848531	0.6809999723898436	201	0.6165767724641863	0.0001262684237109	4.7174607577037575	0.8824191412631497	11	0.710212768290418	87116.0	SRR10698277	AMPLICON	420	51805740	PRJNA595949	SAMN13577792	Metagenome or environmental	27632131	UNIVERSITE CATHOLIQUE DE LOUVAIN	2016-08-12	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	intestine environment	organic feature	organic material	SRX7374658	Belgium	Europe	Belgium: Brussels	S15M0_inulin	Homo sapiens	Illumina MiSeq	50.85 N 4.45 E	S15M0_inulin	PAIRED	PCR	METAGENOMIC	metagenome	ILLUMINA	2020-02-20T00:00:00Z	S15M0	SRP237728	M0_inulin
95_obese	95_obese_M3_inulin	sample-160	186.9231252397513	0.1958225410108255	3.6764727256304046	185.6153846153846	0.0574641752630875	12	17.40214656212697	15.64255622588579	23.43312971891256	0.982959521544293	0.9998837749883775	0.2122405073289932	0.0004498272348703	16.62745639950769	0.7633937726327035	0.7497536732145907	184	0.706599645002196	0.0001162250116225	5.316146207301913	0.9425358247369124	7	0.663317798164078	60228.0	SRR10698285	AMPLICON	420	38748360	PRJNA595949	SAMN13577785	Metagenome or environmental	22156410	UNIVERSITE CATHOLIQUE DE LOUVAIN	2016-09-02	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	intestine environment	organic feature	organic material	SRX7374650	Belgium	Europe	Belgium: Brussels	S10M3_inulin	Homo sapiens	Illumina MiSeq	50.85 N 4.45 E	S10M3_inulin	PAIRED	PCR	METAGENOMIC	metagenome	ILLUMINA	2020-02-20T00:00:00Z	S10M3	SRP237728	M3_inulin
95_obese	95_obese_M3_inulin	sample-173	62.39798197653748	0.2365700559074595	2.4490532762439794	62.0	0.1211809011389896	11	8.25212546367385	9.51982722307268	6.700318995910696	0.9952829219367636	0.9999857014169896	0.1738483959291164	0.0003315348400384	5.468228192467558	0.6543639041947963	0.234443496587277	62	0.5939750087498906	1.4298583010423668e-05	3.5366438055606118	0.8788190988610104	1	0.7411788120829483	69937.0	SRR10698298	AMPLICON	420	44116380	PRJNA595949	SAMN13577773	Metagenome or environmental	24876780	UNIVERSITE CATHOLIQUE DE LOUVAIN	2016-05-19	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	intestine environment	organic feature	organic material	SRX7374637	Belgium	Europe	Belgium: Brussels	S03M3_inulin	Homo sapiens	Illumina MiSeq	50.85 N 4.45 E	S03M3_inulin	PAIRED	PCR	METAGENOMIC	metagenome	ILLUMINA	2020-02-20T00:00:00Z	S03M3	SRP237728	M3_inulin
95_obese	95_obese_M0_placebo	sample-30	177.74886301561955	0.2822006962312698	3.2239196611779337	176.28571428571428	0.105043117111253	20	9.51990028000485	19.63044325305596	22.699707583499197	0.987032553826182	0.999924322688058	0.1391451451584735	0.0004335520935632	16.091470888657035	0.6788491872071991	0.7655358278212179	176	0.6252402150348788	7.567731194187983e-05	4.663936629274758	0.894956882888747	4	0.6964084235727948	52856.0	SRR10698155	AMPLICON	420	38404800	PRJNA595949	SAMN13577732	Metagenome or environmental	22183396	UNIVERSITE CATHOLIQUE DE LOUVAIN	2016-09-26	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	intestine environment	organic feature	organic material	SRX7374780	Belgium	Europe	Belgium: Brussels	E07M0_placebo	Homo sapiens	Illumina MiSeq	50.81 N 4.26 E	E07M0_placebo	PAIRED	PCR	METAGENOMIC	metagenome	ILLUMINA	2020-02-20T00:00:00Z	E07M0	SRP237728	M0_placebo
95_obese	95_obese_M0_inulin	sample-110	175.58763887135464	0.0738799206329765	3.910236582800153	174.54545454545453	0.0317306073449176	10	31.5153123017726	14.13527179449006	21.91071627510831	0.9807385057335302	0.9996325600764276	0.301604016290861	0.0014300447255922	15.446923394550842	0.8259570733592256	0.8166415745503531	165	0.7679756035759718	0.0003674399235724	5.65715574862052	0.9682693926550824	15	0.6091646197664864	40823.0	SRR10698235	AMPLICON	420	29274000	PRJNA595949	SAMN13577830	Metagenome or environmental	17053702	UNIVERSITE CATHOLIQUE DE LOUVAIN	2017-07-13	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	intestine environment	organic feature	organic material	SRX7374700	Belgium	Europe	Belgium: Brussels	S45M0_inulin	Homo sapiens	Illumina MiSeq	50.85 N 4.45 E	S45M0_inulin	PAIRED	PCR	METAGENOMIC	metagenome	ILLUMINA	2020-02-20T00:00:00Z	S45M0	SRP237728	M0_inulin
95_obese	95_obese_M3_placebo	sample-112	206.0306037749468	0.0575654439262153	4.147318648761458	205.0909090909091	0.0241900909024848	10	41.339241097985166	15.670450892909743	25.296732780038766	0.9760495645187642	0.999859938092637	0.3139394399809949	0.0003813583679323	17.895472513597856	0.8476406424686191	0.7522393980226484	201	0.7835799376146608	0.000140061907363	5.99521060686053	0.9758099090975152	10	0.6102766975241862	71397.0	SRR10698237	AMPLICON	420	47558280	PRJNA595949	SAMN13577829	Metagenome or environmental	26069837	UNIVERSITE CATHOLIQUE DE LOUVAIN	2017-09-08	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	intestine environment	organic feature	organic material	SRX7374698	Belgium	Europe	Belgium: Brussels	S44M3_placebo	Homo sapiens	Illumina MiSeq	50.85 N 4.45 E	S44M3_placebo	PAIRED	PCR	METAGENOMIC	metagenome	ILLUMINA	2020-02-20T00:00:00Z	S44M3	SRP237728	M3_placebo
