study_accession	sample_accession	experiment_accession	run_accession	tax_id	scientific_name	fastq_ftp	submitted_ftp	sra_ftp
PRJNA46879	SAMN00018627	SRX020378	SRR043298	646099	human metagenome		Protected file(s). Go to dbGap	
PRJNA46879	SAMN00018765	SRX020378	SRR043298	646099	human metagenome		Protected file(s). Go to dbGap	
PRJNA46879	SAMN00018807	SRX020378	SRR043298	646099	human metagenome		Protected file(s). Go to dbGap	
PRJNA46879	SAMN00018794	SRX020378	SRR043298	646099	human metagenome		Protected file(s). Go to dbGap	
PRJNA46879	SAMN00018776	SRX020378	SRR043298	646099	human metagenome		Protected file(s). Go to dbGap	
PRJNA46879	SAMN00018620	SRX020378	SRR043298	646099	human metagenome		Protected file(s). Go to dbGap	
PRJNA46879	SAMN00018892	SRX020378	SRR043298	646099	human metagenome		Protected file(s). Go to dbGap	
PRJNA46879	SAMN00018913	SRX020378	SRR043298	646099	human metagenome		Protected file(s). Go to dbGap	
PRJNA46879	SAMN00018891	SRX020378	SRR043298	646099	human metagenome		Protected file(s). Go to dbGap	
PRJNA46879	SAMN00018910	SRX020378	SRR043298	646099	human metagenome		Protected file(s). Go to dbGap	
PRJNA46879	SAMN00010557	SRX020378	SRR043298	646099	human metagenome		Protected file(s). Go to dbGap	
PRJNA46879	SAMN00018627	SRX020378	SRR043299	646099	human metagenome		Protected file(s). Go to dbGap	
PRJNA46879	SAMN00018776	SRX020378	SRR043299	646099	human metagenome		Protected file(s). Go to dbGap	
PRJNA46879	SAMN00018765	SRX020378	SRR043299	646099	human metagenome		Protected file(s). Go to dbGap	
PRJNA46879	SAMN00018620	SRX020378	SRR043299	646099	human metagenome		Protected file(s). Go to dbGap	
PRJNA46879	SAMN00018807	SRX020378	SRR043299	646099	human metagenome		Protected file(s). Go to dbGap	
PRJNA46879	SAMN00018794	SRX020378	SRR043299	646099	human metagenome		Protected file(s). Go to dbGap	
PRJNA46879	SAMN00018892	SRX020378	SRR043299	646099	human metagenome		Protected file(s). Go to dbGap	
PRJNA46879	SAMN00018891	SRX020378	SRR043299	646099	human metagenome		Protected file(s). Go to dbGap	
PRJNA46879	SAMN00018913	SRX020378	SRR043299	646099	human metagenome		Protected file(s). Go to dbGap	
PRJNA46879	SAMN00018910	SRX020378	SRR043299	646099	human metagenome		Protected file(s). Go to dbGap	
PRJNA46879	SAMN00010557	SRX020378	SRR043299	646099	human metagenome		Protected file(s). Go to dbGap	
PRJNA46879	SAMN00018627	SRX020378	SRR043300	646099	human metagenome		Protected file(s). Go to dbGap	
PRJNA46879	SAMN00018892	SRX020378	SRR043300	646099	human metagenome		Protected file(s). Go to dbGap	
PRJNA46879	SAMN00018765	SRX020378	SRR043300	646099	human metagenome		Protected file(s). Go to dbGap	
PRJNA46879	SAMN00018620	SRX020378	SRR043300	646099	human metagenome		Protected file(s). Go to dbGap	
PRJNA46879	SAMN00018807	SRX020378	SRR043300	646099	human metagenome		Protected file(s). Go to dbGap	
PRJNA46879	SAMN00018776	SRX020378	SRR043300	646099	human metagenome		Protected file(s). Go to dbGap	
PRJNA46879	SAMN00018794	SRX020378	SRR043300	646099	human metagenome		Protected file(s). Go to dbGap	
PRJNA46879	SAMN00018891	SRX020378	SRR043300	646099	human metagenome		Protected file(s). Go to dbGap	
PRJNA46879	SAMN00018910	SRX020378	SRR043300	646099	human metagenome		Protected file(s). Go to dbGap	
PRJNA46879	SAMN00018913	SRX020378	SRR043300	646099	human metagenome		Protected file(s). Go to dbGap	
PRJNA46879	SAMN00010557	SRX020378	SRR043300	646099	human metagenome		Protected file(s). Go to dbGap	
PRJNA46879	SAMN00018627	SRX020378	SRR043301	646099	human metagenome		Protected file(s). Go to dbGap	
PRJNA46879	SAMN00018807	SRX020378	SRR043301	646099	human metagenome		Protected file(s). Go to dbGap	
PRJNA46879	SAMN00018794	SRX020378	SRR043301	646099	human metagenome		Protected file(s). Go to dbGap	
PRJNA46879	SAMN00018765	SRX020378	SRR043301	646099	human metagenome		Protected file(s). Go to dbGap	
PRJNA46879	SAMN00018620	SRX020378	SRR043301	646099	human metagenome		Protected file(s). Go to dbGap	
PRJNA46879	SAMN00018892	SRX020378	SRR043301	646099	human metagenome		Protected file(s). Go to dbGap	
PRJNA46879	SAMN00018776	SRX020378	SRR043301	646099	human metagenome		Protected file(s). Go to dbGap	
PRJNA46879	SAMN00018891	SRX020378	SRR043301	646099	human metagenome		Protected file(s). Go to dbGap	
PRJNA46879	SAMN00018910	SRX020378	SRR043301	646099	human metagenome		Protected file(s). Go to dbGap	
PRJNA46879	SAMN00018913	SRX020378	SRR043301	646099	human metagenome		Protected file(s). Go to dbGap	
PRJNA46879	SAMN00010557	SRX020378	SRR043301	646099	human metagenome		Protected file(s). Go to dbGap	
PRJNA46879	SAMN00018627	SRX020378	SRR043302	646099	human metagenome		Protected file(s). Go to dbGap	
PRJNA46879	SAMN00018892	SRX020378	SRR043302	646099	human metagenome		Protected file(s). Go to dbGap	
